#constelname,star1id
Orion,22456
Orion,22396
Orion,22496
Orion,22744
Orion,23069
Orion,25273
Orion,25865
Orion,25218
Orion,24614
Orion,24378
Orion,27298
Orion,26662
Orion,27919
Orion,26142
Orion,25273
JUMP,JUMP
Orion,26662
Orion,26246
Orion,25865
JUMP,JUMP
Orion,27919
Orion,28543
Orion,28966
Orion,27844
JUMP,JUMP
Orion,28543
Orion,29353
Orion,28645
JUMP,JUMP
Gemini,36744
Gemini,36263
Gemini,34601
Gemini,32161
Gemini,30270
Gemini,29582
JUMP,JUMP
Gemini,32161
Gemini,30810
JUMP,JUMP
Gemini,37633
Gemini,36856
Gemini,35946
Gemini,34601
Gemini,32932
JUMP,JUMP
Gemini,37718
Gemini,36856
Gemini,35453
Gemini,34000
Gemini,31601
JUMP,JUMP
Gemini,35453
Gemini,35253
Gemini,32276
JUMP,JUMP
Cancer,42984
Cancer,42687
Cancer,42792
Cancer,40411
Cancer,39456
Cancer,42687
JUMP,JUMP
Cancer,42792
Cancer,43939
JUMP,JUMP
Canis Major,33260
Canis Major,33073
Canis Major,33956
Canis Major,33260
Canis Major,32263
Canis Major,31620
Canis Major,31512
Canis Major,30251
JUMP,JUMP
Canis Major,32263
Canis Major,33888
Canis Major,34354
Canis Major,33492
Canis Major,33065
Canis Major,31512
Canis Major,31052
JUMP,JUMP
Canis Major,34354
Canis Major,34943
Canis Major,35806
JUMP,JUMP
Canis Major,33492
Canis Major,30049
JUMP,JUMP
Canis Major,33492
Canis Major,32672
JUMP,JUMP
Monoceros,31895
Monoceros,31139
Monoceros,30346
Monoceros,32492
Monoceros,34677
Monoceros,39100
Monoceros,39750
JUMP,JUMP
Monoceros,31139
Monoceros,32492
JUMP,JUMP
Monoceros,39100
Monoceros,37340
JUMP,JUMP
Monoceros,34677
Monoceros,30794
Monoceros,29578
JUMP,JUMP
Lepus,24249
Lepus,25920
Lepus,27220
Lepus,28032
Lepus,28837
Lepus,27585
Lepus,27006
Lepus,25542
Lepus,25920
JUMP,JUMP
Lepus,25542
Lepus,23630
Lepus,24249
JUMP,JUMP
Lepus,24249
Lepus,24785
JUMP,JUMP
Lepus,24249
Lepus,24270
JUMP,JUMP
Sextans,49500
Sextans,51290
Sextans,48300
Sextans,49500
JUMP,JUMP
Pyxis,42396
Pyxis,42709
Pyxis,43286
JUMP,JUMP
Leo,57460
Leo,54712
Leo,53798
Leo,50440
Leo,50193
Leo,48318
Leo,46014
Leo,46617
Leo,47772
Leo,49441
Leo,54718
Leo,54712
JUMP,JUMP
Leo,47772
Leo,48318
JUMP,JUMP
Leo,47373
Leo,49441
Leo,49528
Leo,49496
JUMP,JUMP
Leo,51475
Leo,54718
Leo,55477
Leo,55270
JUMP,JUMP
Lynx,45728
Lynx,45557
Lynx,40959
Lynx,36044
Lynx,33362
Lynx,29987
JUMP,JUMP
Virgo,57209
Virgo,57585
Virgo,59946
Virgo,61749
Virgo,62891
Virgo,63406
JUMP,JUMP
Virgo,61749
Virgo,64035
Virgo,65270
Virgo,69480
Virgo,71732
JUMP,JUMP
Virgo,64035
Virgo,66041
Virgo,68303
Virgo,71995
JUMP,JUMP
Vela,52575
Vela,46518
Vela,44689
Vela,39840
Vela,42794
Vela,45809
Vela,48635
Vela,52575
JUMP,JUMP
Centaurus,71457
Centaurus,68484
Centaurus,66448
Centaurus,67787
Centaurus,68065
Centaurus,67260
Centaurus,67252
Centaurus,68715
JUMP,JUMP
Centaurus,73108
Centaurus,71126
Centaurus,67260
Centaurus,64905
JUMP,JUMP
Centaurus,67787
Centaurus,61740
Centaurus,60636
Centaurus,59017
Centaurus,55261
Centaurus,56393
JUMP,JUMP
