#time X Y Z
2014-10-29_05:56:50 7.077684031368037E7 3.0685471771648154E7 1.2723578243880002E8
2014-11-02_19:26:50 7.963931172667095E7 3.4527554539811596E7 1.2062462501216595E8
2014-11-07_08:56:50 8.808086840871723E7 3.8187632734382406E7 1.1319942114903653E8
2014-11-11_22:26:50 9.596576912101832E7 4.160664331582749E7 1.0506674829290962E8
2014-11-16_11:56:50 1.032471811555177E8 4.476377127074605E7 9.627137434211686E7
2014-11-21_01:26:50 1.0987717685135512E8 4.7638029799386844E7 8.686502387986408E7
2014-11-25_14:56:50 1.1580902919706221E8 5.020935985558785E7 7.690011430978741E7
2014-11-30_04:26:50 1.2099863057523668E8 5.2459066108511426E7 6.644082263535208E7
2014-12-04_17:56:50 1.2540905535107192E8 5.4371438584611855E7 5.555905228350735E7
2014-12-09_07:26:50 1.2901372075738193E8 5.593471932491629E7 4.432397158181277E7
2014-12-13_20:56:50 1.3179202369932018E8 5.713948220255378E7 3.2806890946591746E7
2014-12-18_10:26:50 1.3372515213753958E8 5.797738705479236E7 2.107876270158945E7
2014-12-22_23:56:50 1.347963457067102E8 5.844136903779427E7 9208598.96928959
2014-12-27_13:26:50 1.3499355530062956E8 5.852662692416626E7 -2724515.1805930487
2015-01-01_02:56:50 1.3431326017030618E8 5.823191694401502E7 -1.4636925640876902E7
2015-01-05_16:26:50 1.3276236314751217E8 5.755997374943152E7 -2.645155906164386E7
2015-01-10_05:56:50 1.3035515837373039E8 5.651650766544385E7 -3.8091933056643344E7
2015-01-14_19:26:50 1.2710816713336569E8 5.510853138433096E7 -4.9485302027908616E7
2015-01-19_08:56:50 1.2303887963273545E8 5.334384307475249E7 -6.056431477819883E7
2015-01-23_22:26:50 1.1817063307153235E8 5.12329757589449E7 -7.125493163311091E7
2015-01-28_11:56:50 1.1253456488083589E8 4.878969769496937E7 -8.148208842028397E7
2015-02-02_01:26:50 1.0617047782599027E8 4.6030980799082525E7 -9.117992356206924E7
2015-02-06_14:56:50 9.91255103234387E7 4.2976766336674124E7 -1.0028713195195276E8
2015-02-11_04:26:50 9.14473211879048E7 3.964759711897551E7 -1.0874910587153186E8
2015-02-15_17:56:50 8.318217206258206E7 3.60637703734142E7 -1.1651846704016364E8
2015-02-20_07:26:50 7.438130672763257E7 3.2247913440976813E7 -1.2354480101305568E8
2015-02-24_20:56:50 6.510135119809568E7 2.8224834318713162E7 -1.2977944269491708E8
2015-03-01_10:26:50 5.540498922372385E7 2.4021407329396196E7 -1.3518358041551137E8
2015-03-05_23:56:50 4.5360409670912445E7 1.966668220797525E7 -1.3972628576092896E8
