#time X Y Z
2013-12-19_09:55:26 7523.77036228605 121.05129608265997 -3585.6026327488626
2013-12-19_09:57:14 8312.207782762904 -30.557430953006133 -2931.8828604831174
2013-12-19_09:59:11 9108.813272921709 -195.8050469708769 -2195.6899227839112
2013-12-19_10:01:21 9914.681976111324 -376.05060792865015 -1368.9343241625568
2013-12-19_10:03:44 10731.052290494365 -572.9004329926543 -442.0307700076643
2013-12-19_10:06:25 11558.907142958496 -788.1545197679476 595.916197577357
2013-12-19_10:09:25 12398.82967761775 -1023.7904442363957 1757.065710856931
2013-12-19_10:12:48 13251.270006974306 -1282.0638544024994 3055.370307698047
2013-12-19_10:16:39 14116.278227038274 -1565.4733008094558 4506.456053389713
2013-12-19_10:21:03 14993.436673713688 -1876.7702448308698 6127.711070327951
2013-12-19_10:26:05 15882.070352420204 -2219.0789461719223 7938.958353418893
2013-12-19_10:31:54 16780.880724913575 -2595.8212057423552 9962.122688135552
2013-12-19_10:38:36 17688.14981853181 -3010.8560012142507 12222.030471380182
2013-12-19_10:46:23 18601.410663481067 -3468.411296876571 14746.108507206485
2013-12-19_10:55:26 19517.728555311147 -3973.3075783337717 17565.68250161726
2013-12-19_11:05:59 20432.755365831777 -4530.525895224235 20713.63056555394
2013-12-19_11:18:19 21341.812669120445 -5145.895308836375 24228.29122972744
2013-12-19_11:32:45 22239.024971408322 -5825.728650749854 28151.51689845791
2013-12-19_11:49:41 23117.675258365038 -6577.21809047583 32531.03365035501
2013-12-19_12:09:34 23969.515060281148 -7408.06049281842 37418.37307585514
2013-12-19_12:32:57 24784.769289305706 -8326.48459657317 42869.06845582541
2013-12-19_13:00:28 25552.30951432498 -9341.514460667588 48944.27893295654
2013-12-19_13:32:52 26259.499454704375 -10462.947243999652 55710.7605387646
2013-12-19_14:11:02 26892.172038738045 -11701.46745078653 63241.66212735694
2013-12-19_14:56:02 27434.787055406923 -13069.352023450776 71620.98770776355
2013-12-19_15:49:04 27869.58784128649 -14578.546788953485 80931.97555454014
2013-12-19_16:51:33 28177.432429448916 -16241.55219742721 91262.50528784427
2013-12-19_18:05:09 28338.133772659075 -18073.009395156678 102715.1624212788
2013-12-19_19:31:48 28330.207750192872 -20087.369479731446 115392.99681352089
2013-12-19_21:13:23 28132.586303527518 -22292.07291162268 129356.24838268111
2013-12-19_23:12:37 27724.219802175514 -24706.29272098159 144740.96123595344
2013-12-20_01:31:51 27087.485944978464 -27335.177442210508 161595.92393283424
2013-12-20_04:13:15 26211.97548651059 -30175.342685368203 179915.86162732454
2013-12-20_07:20:16 25086.60842179172 -33241.769119131146 199815.3405305012
2013-12-20_10:53:00 23728.828649145275 -36491.20251594087 221031.3220224911
2013-12-20_13:32:40 22684.400632741115 -38790.68286456304 236122.95360611987
2013-12-20_13:58:10 22508.21496905139 -39145.31636573006 238498.9425965853
2013-12-20_18:02:51 20755.949770590887 -42403.30362700392 260737.19844651586
2013-12-20_23:32:24 18436.846565661435 -46483.89969691549 288835.09490556153
2013-12-21_05:54:17 15860.49948324718 -50850.77904038837 319201.4290259817
2013-12-21_13:16:09 13076.207534236884 -55508.133530982916 351926.25205518055
2013-12-21_21:45:25 10168.553502488237 -60444.27546150125 386998.26049990003
2013-12-22_07:30:40 7254.06562994331 -65647.06086852527 424414.33870119025
2013-12-22_18:40:54 4491.614667300531 -71094.47300117773 464116.09546614793
2013-12-23_07:23:27 2091.2073496537014 -76740.14073712663 505884.26460640307
2013-12-23_21:49:42 296.14868144821594 -82556.43532853253 549659.0979610597
2013-12-24_14:06:44 -592.7975633314783 -88473.9133652317 595093.7800059234
2013-12-25_08:20:08 -243.16148258082106 -94409.98675870126 641758.9946533052
2013-12-26_04:36:58 1699.9909932085868 -100287.35155396578 689287.1998326131
2013-12-27_02:56:01 5580.118492025315 -105990.04513987608 737011.3578117457
2013-12-28_03:33:02 11785.068576031212 -111473.69556692241 784883.6976481694
2013-12-29_06:22:33 20604.710949188066 -116608.4473047377 832146.9053251443
2013-12-30_11:21:38 32246.351477744673 -121292.36583226232 878249.4463868549
2013-12-31_18:16:05 46708.08170849173 -125415.33565921588 922472.5743893428
2014-01-02_02:56:44 63856.82165904987 -128906.30484423148 964364.8211372823
2014-01-03_13:28:22 83549.34482615009 -131725.8866112007 1003783.3734469347
2014-01-05_00:00:00 104370.52485633433 -133732.3464934006 1038655.4419708946
2014-01-05_00:00:06 104371.63204762379 -133732.43100384684 1038657.1470198949
2014-01-05_11:59:59 111791.46071972842 -134250.61385926814 1049767.577005641
2014-01-06_11:12:06 126323.83198462201 -135001.7518674038 1069830.8126225204
2014-01-07_20:48:27 147636.70305953917 -135523.23794513236 1095657.7965233591
2014-01-07_22:17:43 148332.3741503503 -135477.5773997293 1096895.0153808922
2014-01-09_02:38:45 155537.26163202166 -133040.3598861627 1123814.8208783814
2014-01-10_20:30:47 166767.5434637457 -128659.54366958658 1159779.413269475
2014-01-12_14:38:31 178668.9746321039 -123379.83227017308 1191608.0151798094
2014-01-14_08:46:15 191079.19897735264 -117293.58325967021 1219272.0776927255
2014-01-14_21:00:48 194765.56851048412 -115382.24382381013 1226563.8542711295
2014-01-15_10:02:38 197461.69095682446 -113106.11752810937 1234878.9561967375
2014-01-17_07:06:42 207214.1670356449 -104728.2237305733 1261083.4763077418
2014-01-19_07:01:21 218351.65266522346 -95042.76977619396 1284876.286892527
2014-01-21_06:56:00 230314.48097297325 -84661.81475046671 1304926.3171484426
2014-01-23_00:00:00 241240.43260917324 -75295.43564374544 1319503.6028865217
2014-01-23_00:00:07 241241.00705380383 -75294.94696332743 1319504.2927655792
2014-01-23_14:59:59 245383.6496406392 -71781.77242308376 1324296.7704851571
2014-01-24_22:05:03 254215.0380215417 -64365.4206972533 1333429.4858496862
2014-01-27_03:29:23 270047.385825506 -51280.393463265646 1346999.567564758
2014-01-29_09:50:07 286630.89215038094 -37665.01300881853 1358780.729445565
2014-01-31_16:52:49 303159.4399815865 -23716.535653897576 1369348.2358531556
2014-02-03_00:31:21 318638.7825366167 -9559.83742026551 1378973.678078546
2014-02-05_08:30:07 332164.25984701165 4682.71058934297 1387494.8313357043
2014-02-07_17:04:33 343302.9777600651 19035.917990517017 1394623.4774304533
2014-02-10_01:38:58 351775.1457854903 33299.347834915665 1399970.5216120041
2014-02-12_10:13:24 357661.42230018525 47405.531361313464 1403329.85913125
2014-02-14_18:47:49 361172.0253121294 61267.26898438767 1404610.2239241423
2014-02-17_03:22:15 362619.2324791822 74779.50372427063 1403880.6708281352
2014-02-19_11:56:40 362388.74096393323 87819.3896294548 1401399.7612550312
2014-02-21_20:31:06 360860.355446637 100245.92395097413 1397615.5329920894
2014-02-24_05:05:31 358289.6225793106 111907.18175443313 1393156.4173995494
2014-02-26_13:39:57 354669.09715476265 122658.39292139436 1388780.0660063387
2014-02-28_13:52:42 350479.2405972528 131018.59404451434 1385659.1626281997
2014-03-02_22:40:02 343647.23368786427 139869.19470997286 1383079.5140115917
2014-03-05_07:31:58 334097.69441237964 147643.59020636723 1381664.9206163203
2014-03-07_16:18:26 321448.0368467919 154327.11359307886 1381078.330426705
2014-03-10_00:32:02 305778.53833021305 159881.44030021297 1380878.5538338812
2014-03-12_08:45:37 287151.5407120483 164354.39446121771 1380654.9798378798
2014-03-14_16:20:09 266162.4309700656 167673.34869245932 1380071.8289773439
2014-03-16_23:48:09 243114.17300778755 169840.13015935203 1378886.0137048836
2014-03-19_07:16:10 218537.5099176469 170801.97114865785 1377016.4359581429
2014-03-21_14:44:10 193072.31867910165 170494.5291056539 1374606.322766251
2014-03-23_21:20:30 167711.6816232984 168891.0640447612 1372068.3509726315
2014-03-26_03:36:10 142600.80151633307 165977.4044795578 1369909.637003835
2014-03-28_09:51:50 117652.3535113378 161744.3134318189 1368688.768873317
2014-03-30_16:07:29 92624.80033940042 156239.67769751878 1368848.4529139579
2014-04-01_22:23:09 67106.43204737525 149555.54223347173 1370527.488984343
2014-04-04_04:38:49 40748.45263787794 141802.78259750092 1373546.5202260998
2014-04-06_03:09:22 17373.8082973868 134387.91624215065 1376927.6852086037
2014-04-06_03:09:30 17372.736679653535 134387.56640264424 1376927.8501885666
2014-04-07_15:16:50 -1262.1802218409866 128178.8608229905 1379883.440312407
2014-04-09_17:51:16 -27941.942617704364 118875.2395967506 1384256.0791452532
2014-04-12_01:01:34 -57558.058428786775 107972.64397382503 1388998.8758937041
2014-04-14_08:11:52 -87255.60567155103 96340.75908622309 1393346.019452097
2014-04-16_15:22:09 -116431.34921873773 84023.92608025987 1397028.2642127422
2014-04-18_22:32:27 -144385.83641798678 71060.34436812735 1400013.2672216215
2014-04-21_05:42:45 -170440.01591406358 57495.319624360716 1402581.5216050392
2014-04-23_14:06:36 -194606.37570663344 43080.32251222805 1405328.4919608335
2014-04-25_22:30:28 -216122.17494099957 28227.054370173806 1408849.9292731972
2014-04-28_07:26:01 -235371.0725339761 12951.331758078173 1413729.307732074
2014-04-30_16:45:21 -252717.69231545253 -2532.0187821126456 1420229.9143740209
2014-05-03_02:45:38 -268693.15478613065 -18119.597724683146 1428326.1871246526
2014-05-05_13:11:11 -283537.6783090686 -33581.25573817056 1437671.4301476637
2014-05-08_00:12:47 -297422.8931024806 -48832.956227494564 1447845.7652749321
2014-05-10_11:48:25 -310270.9034386413 -63761.53388686418 1458322.9367032954
2014-05-12_23:56:16 -321784.77644871 -78285.12806581585 1468525.2396056333
2014-05-15_12:28:54 -331371.4574270568 -92330.81128419265 1477903.8460570073
2014-05-18_01:35:05 -338224.34496169485 -105905.24971071277 1486238.3681713766
2014-05-20_15:18:08 -341485.69544077484 -118973.07417846967 1493808.9709903782
2014-05-23_05:36:39 -340625.8630286764 -131426.85564225266 1501322.12962869
