#time X Y Z
2014-12-17_20:02:50 5.611312892098738E8 2.526782197309661E8 -4.9952506612559795E8
2015-02-09_23:38:50 5.263489891634672E8 2.3890253197892246E8 -5.462264619307077E8
2015-04-05_04:14:50 4.884770536001205E8 2.2373213826890403E8 -5.89809450721934E8
2015-05-29_07:50:50 4.4779250035360056E8 2.072736926845524E8 -6.300457789122337E8
2015-07-22_11:26:50 4.046012143672614E8 1.8965380518012828E8 -6.666775776136675E8
2015-09-14_15:02:50 3.591357921271879E8 1.7096804033247584E8 -6.99560393546419E8
2015-11-07_17:38:50 3.116681243160435E8 1.5132360585516438E8 -7.285430860535824E8
2015-12-31_21:14:50 2.6249329613015446E8 1.3085456143708721E8 -7.534741762077094E8
2016-02-24_00:50:50 2.1185737379752213E8 1.0965786577599928E8 -7.742824414554558E8
2016-04-18_05:26:50 1.6006337128119624E8 8.786181390176427E7 -7.908594881850669E8
2016-06-11_09:02:50 1.0735376613216653E8 6.5567796252716385E7 -8.031460813173666E8
2016-08-04_12:38:50 5.411003136814388E7 4.293662557149923E7 -8.110710099009157E8
2016-09-27_16:14:50 547238.5589645309 2.006505120933171E7 -8.146321047989626E8
2016-11-20_18:50:50 -5.2991584836000174E7 -2903103.642359484 -8.138156153231577E8
2017-01-13_22:26:50 -1.0620307231530017E8 -2.58370447774111E7 -8.086450241102823E8
2017-03-09_02:02:50 -1.5889069685835314E8 -4.865219332709338E7 -7.991451581970289E8
2017-05-02_06:38:50 -2.107554158270161E8 -7.121847060819589E7 -7.853681512324667E8
2017-06-25_10:14:50 -2.615100029428532E8 -9.341134867382352E7 -7.67383493498097E8
2017-08-18_13:50:50 -3.10824068957942E8 -1.1508679881388135E8 -7.453081206790117E8
2017-10-11_17:26:50 -3.5847127360213757E8 -1.361450062725283E8 -7.192420217636926E8
2017-12-04_20:02:50 -4.04198812372622E8 -1.5647164463795885E8 -6.893193056492919E8
2018-01-27_23:38:50 -4.4773160685150236E8 -1.7595032969541556E8 -6.556951125164444E8
2018-03-23_03:14:50 -4.888627026256498E8 -1.9448645805269957E8 -6.185151962317761E8
2018-05-16_07:50:50 -5.2734058224540246E8 -2.1196230231683743E8 -5.77978720087929E8
2018-07-09_11:26:50 -5.629697149465634E8 -2.2829834123470762E8 -5.34251411565914E8
2018-09-01_15:02:50 -5.954960037637016E8 -2.433761323666576E8 -4.8761362470146966E8
2018-10-25_18:38:50 -6.247127181072271E8 -2.571008108345993E8 -4.3829157001903903E8
2018-12-18_21:14:50 -6.504518275981665E8 -2.6939478355950165E8 -3.86531100808319E8
2019-02-11_00:50:50 -6.725362783186395E8 -2.8016841336471635E8 -3.3265051413076854E8
2019-04-06_05:26:50 -6.908311223149279E8 -2.893698175384554E8 -2.768258352851258E8
2019-05-30_09:02:50 -7.051895904096211E8 -2.9692258626804066E8 -2.1938728449363977E8
2019-07-23_12:38:50 -7.154684967802502E8 -3.0275780737576765E8 -1.6073157475054955E8
2019-09-15_16:14:50 -7.215835519597834E8 -3.0683086225458455E8 -1.0113899540104446E8
2019-11-08_18:50:50 -7.234712099164083E8 -3.090990939033081E8 -4.095256742125449E7
2020-01-01_22:26:50 -7.210444508067943E8 -3.095314982240467E8 1.943826767540387E7
2020-02-25_02:02:50 -7.142869215249153E8 -3.0810475605911547E8 7.975167828512697E7
2020-04-19_06:38:50 -7.031916490762776E8 -3.047995658644685E8 1.395814815165162E8
2020-06-12_10:14:50 -6.877606995239482E8 -2.9962252531335646E8 1.9859818519304633E8
2020-08-05_13:50:50 -6.680750645257853E8 -2.9259181615025854E8 2.5633518957484645E8
2020-09-28_17:26:50 -6.441750062307552E8 -2.837154862020714E8 3.1245831547850513E8
2020-11-21_20:02:50 -6.16177198146271E8 -2.7303410089603865E8 3.6659332209669095E8
2021-01-14_23:38:50 -5.842404466113998E8 -2.6060085362572202E8 4.183314982227628E8
2021-03-10_03:14:50 -5.484960567232884E8 -2.4647569120699716E8 4.6738613968222505E8
2021-05-03_07:50:50 -5.0912912221643186E8 -2.307229480119397E8 5.133681841971044E8
2021-06-26_11:26:50 -4.6634790566311485E8 -2.1342338807781488E8 5.559680450692285E8
2021-08-19_15:02:50 -4.2046466914374787E8 -1.947029233759227E8 5.948012043688155E8
2021-10-12_18:38:50 -3.71731667314237E8 -1.7465837315211704E8 6.296027332753464E8
2021-12-05_21:14:50 -3.204774651326782E8 -1.5343297537709358E8 6.600939556179303E8
2022-01-29_00:50:50 -2.670311980959397E8 -1.3115681182213904E8 6.860168131533002E8
2022-03-24_04:26:50 -2.116931796242115E8 -1.0795357827576093E8 7.071928836469356E8
2022-05-17_09:02:50 -1.5487479965428317E8 -8.399231279480207E7 7.234260510172328E8
2022-07-10_12:38:50 -9.694774943273553E7 -5.943467474563072E7 7.3456159800881E8
2022-09-02_16:14:50 -3.835402857813659E7 -3.446454631599634E7 7.404947980890304E8
2022-10-26_19:50:50 2.051188796737963E7 -9249206.416688614 7.411662519964161E8
2022-12-19_22:26:50 7.923170173597182E7 1.6032247079233807E7 7.365550015778316E8
2023-02-12_02:02:50 1.3731935373460972E8 4.1170670803153664E7 7.266968000997748E8
2023-04-07_06:38:50 1.944893919171955E8 6.604240710527611E7 7.11632734062914E8
2023-05-31_10:14:50 2.503070000902047E8 9.045880499770041E7 6.914630636208626E8
2023-07-24_13:50:50 3.0429769518914205E8 1.1421232847473232E8 6.663643406868532E8
2023-09-16_17:26:50 3.5611676804578745E8 1.371487304767164E8 6.365149647622566E8
2023-11-09_20:02:50 4.053818687740654E8 1.5910233673197037E8 6.021514120935593E8
2024-01-02_23:38:50 4.5176707704970855E8 1.7992533514484996E8 5.635425959891896E8
2024-02-26_03:14:50 4.9500331408166254E8 1.994958735623887E8 5.2093482409159136E8
2024-04-20_07:50:50 5.3476612384080404E8 2.17662494201604E8 4.746736895392469E8
2024-06-13_11:26:50 5.708343997610868E8 2.343295699713411E8 4.250765883081497E8
2024-08-06_15:02:50 6.02923257120596E8 2.4936269952882057E8 3.7259599803033155E8
2024-09-29_18:38:50 6.308937763603648E8 2.626925763685346E8 3.1754237092103404E8
2024-11-22_21:14:50 6.545785353460604E8 2.742384108628189E8 2.603337251589485E8
2025-01-16_00:50:50 6.738368202655015E8 2.8392315341905636E8 2.0142919327660674E8
2025-03-11_04:26:50 6.886339019214172E8 2.9173460397980505E8 1.411270032929912E8
2025-05-04_09:02:50 6.988918072683116E8 2.976228960163501E8 7.989278264852165E7
2025-06-27_12:38:50 7.045922815589548E8 3.0157073252312094E8 1.8092150200651433E7
2025-08-20_16:14:50 7.057459710275757E8 3.035654395326144E8 -4.3780200458467945E7
2025-10-13_19:50:50 7.023840689837189E8 3.036247001033451E8 -1.053653070834757E8
2025-12-06_22:26:50 6.946041851213984E8 3.017743146046467E8 -1.6629804110445002E8
2026-01-30_02:02:50 6.825067428513141E8 2.9804821360853195E8 -2.261468254270179E8
2026-03-25_05:38:50 6.66195419732178E8 2.924746739795073E8 -2.846490108109289E8
2026-05-18_10:14:50 6.458084127955093E8 2.8511935849910486E8 -3.4141227138026476E8
2026-07-11_13:50:50 6.21518833324531E8 2.76041208754055E8 -3.9616545106965744E8
2026-09-03_17:26:50 5.611312892098738E8 2.526782197309661E8 -4.9952506612559795E8
