#time X Y Z
2014-11-02_06:14:50 -1.5324628119776103E8 -7.357756875716382E7 1.2179602209966597E8
2014-11-10_20:02:50 -1.4164001090024036E8 -6.865255535207061E7 1.3648983658101112E8
2014-11-19_09:50:50 -1.2885020965289918E8 -6.3157109966347955E7 1.5015032689858857E8
2014-11-27_23:38:50 -1.1500279875613621E8 -5.714379015940666E7 1.625987651689687E8
2014-12-06_13:26:50 -1.0022589009303218E8 -5.066773420615041E7 1.737087605781465E8
2014-12-15_03:14:50 -8.461304848918179E7 -4.376968604157994E7 1.8339706052528098E8
2014-12-23_17:02:50 -6.83144460769405E7 -3.651655328384628E7 1.91566451509395E8
2015-01-01_06:50:50 -5.144003909308372E7 -2.895602932281199E7 1.981611296326314E8
2015-01-09_20:38:50 -3.4154273343716495E7 -2.116341157865953E7 2.0311904172686955E8
2015-01-18_10:26:50 -1.6575998148572117E7 -1.3190637762601763E7 2.0641564567969257E8
2015-01-27_00:14:50 1125218.8312652071 -5117042.75417105 2.0802689452096745E8
2015-02-04_14:02:50 1.8829788947613552E7 3004867.274558485 2.079604856663767E8
2015-02-13_03:50:50 3.6372028872382924E7 1.1095894077383911E7 2.0622966169932422E8
2015-02-21_17:38:50 5.3639318578385524E7 1.9106518806912187E7 2.0287275006363997E8
2015-03-02_07:26:50 7.047955170618872E7 2.6962142705295105E7 1.9794051021201542E8
2015-03-10_21:14:50 8.678810603078718E7 3.461717851780929E7 1.9148334689968115E8
2015-03-19_11:02:50 1.0243741071891925E8 4.2006553001732916E7 1.8359450360081485E8
2015-03-28_00:50:50 1.173347484463905E8 4.9090311271257244E7 1.7433857785182688E8
2015-04-05_15:38:50 1.3137945841656451E8 5.58146103689255E7 1.638302322883951E8
2015-04-14_05:26:50 1.4455454128663933E8 6.21759695863208E7 1.5208871938140014E8
2015-04-22_19:14:50 1.566601658214856E8 6.80711459747627E7 1.3935485326594526E8
2015-05-01_09:02:50 1.6769894957695147E8 7.350566035873277E7 1.2566351359886461E8
2015-05-09_22:50:50 1.776267185386277E8 7.845037771637237E7 1.111453243768391E8
2015-05-18_12:38:50 1.8639476000552416E8 8.288573381086752E7 9.589623999877849E7
2015-05-27_02:26:50 1.9398409326630807E8 8.67939971946835E7 8.00434608684348E7
2015-06-04_16:14:50 2.003600900814308E8 9.016235962665507E7 6.368764361140781E7
2015-06-13_06:02:50 2.0552521424461558E8 9.298289245080832E7 4.69471040702855E7
2015-06-21_19:50:50 2.0945849726183283E8 9.524904986095238E7 2.992537627734095E7
2015-06-30_09:38:50 2.1217932365940192E8 9.696098515505247E7 1.2728173819207529E7
2015-07-08_23:26:50 2.1367999459578234E8 9.811817861913832E7 -4539541.85037165
2015-07-17_13:14:50 2.1399222357117727E8 9.872695946915576E7 -2.1786701748539746E7
2015-07-26_03:02:50 2.131213857978787E8 9.8792519011286E7 -3.890832035921417E7
2015-08-03_16:50:50 2.1110719039867538E8 9.832567616840377E7 -5.58282663696618E7
2015-08-12_06:38:50 2.0796796586379975E8 9.733708968193844E7 -7.244310694749041E7
2015-08-20_20:26:50 2.0374763322279906E8 9.584050501252145E7 -8.869114622120705E7
2015-08-29_10:14:50 1.9847742764102954E8 9.38518791957181E7 -1.0447176025784242E8
2015-09-07_00:02:50 1.9220235333385473E8 9.138658711642192E7 -1.1973625506554967E8
2015-09-15_13:50:50 1.849663859799892E8 8.846568644511454E7 -1.3438847893097624E8
2015-09-24_03:38:50 1.7681341361895642E8 8.510526686158706E7 -1.4839066888760394E8
2015-10-02_17:26:50 1.677996870897882E8 8.133119178567697E7 -1.616529893010483E8
2015-10-11_07:14:50 1.579666108361215E8 7.715969560782577E7 -1.7414621193789706E8
2015-10-19_21:02:50 1.4738194744501808E8 7.262104536773013E7 -1.8578872304883426E8
2015-10-28_09:50:50 1.3608409367911372E8 6.77314001669199E7 -1.965574200561195E8
2015-11-05_23:38:50 1.242105835928716E8 6.25509091539857E7 -2.063353779559683E8
2015-11-14_13:26:50 1.116809300762786E8 5.704508058465935E7 -2.151990162230516E8
2015-11-23_03:14:50 9.863854096464425E7 5.1275766221944034E7 -2.2303851035571074E8
2015-12-01_17:02:50 8.511726185339354E7 4.525955254605279E7 -2.2983670468737817E8
2015-12-10_06:50:50 7.121107783245233E7 3.903616945546285E7 -2.3554697606703156E8
2015-12-18_20:38:50 5.695350595085784E7 3.2623217244562514E7 -2.40153006181292E8
2015-12-27_10:26:50 4.244354522353064E7 2.6061968117074136E7 -2.4362234101627484E8
2016-01-05_00:14:50 2.771615579202516E7 1.9371844454077706E7 -2.4593898746220273E8
2016-01-13_14:02:50 1.2873149361857597E7 1.2594705041428061E7 -2.4708528131171072E8
2016-01-22_03:50:50 -2047135.4235922352 5752538.327038196 -2.4704585085819852E8
2016-01-30_17:38:50 -1.6942329407749232E7 -1113036.844566591 -2.4581797706126416E8
2016-02-08_07:26:50 -3.1768958993403006E7 -7976823.21369798 -2.4338803273940706E8
2016-02-16_21:14:50 -4.642608359594131E7 -1.479815933901928E7 -2.3976800877757427E8
2016-02-25_11:02:50 -6.086377619157558E7 -2.1548186151369818E7 -2.3494786095411667E8
2016-03-05_00:50:50 -7.498449726167227E7 -2.8187918841018613E7 -2.2895377082537335E8
2016-03-13_14:38:50 -8.873090845430696E7 -3.4684540740328364E7 -2.217818088226461E8
2016-03-22_04:26:50 -1.0201050827047165E8 -4.100130781180357E7 -2.1347148693985486E8
2016-03-30_19:14:50 -1.1475209351868322E8 -4.70987675307043E7 -2.0403232735342762E8
2016-04-08_09:02:50 -1.2694537886000988E8 -5.2978639968226045E7 -1.934502656869488E8
2016-04-16_22:50:50 -1.3837918154330194E8 -5.853452224801242E7 -1.8186081108536154E8
2016-04-25_12:38:50 -1.4905188007023516E8 -6.377158451646111E7 -1.6926553711194038E8
2016-05-04_02:26:50 -1.588748920914802E8 -6.86420030916125E7 -1.557097345590493E8
2016-05-12_16:14:50 -1.6778643960336635E8 -7.312164514240114E7 -1.412591394182125E8
2016-05-21_06:02:50 -1.757035777460462E8 -7.716493840959798E7 -1.2597221797622912E8
2016-05-29_19:50:50 -1.8256768625630766E8 -8.07486422898073E7 -1.0993191420965144E8
2016-06-07_09:38:50 -1.8830244134517878E8 -8.383273650399975E7 -9.321035241236858E7
2016-06-15_23:26:50 -1.9285908464530402E8 -8.638960139229475E7 -7.590869347496714E7
2016-06-24_13:14:50 -1.9616850288696685E8 -8.839034797445662E7 -5.811283936956658E7
2016-07-03_03:02:50 -1.981938890103336E8 -8.981010224667393E7 -3.994216197686849E7
2016-07-11_16:50:50 -1.9887968913351429E8 -9.062509091405289E7 -2.1495882012202233E7
2016-07-20_06:38:50 -1.9820478719126853E8 -9.08179411764076E7 -2910314.4907755004
2016-07-28_20:26:50 -1.9613069221538687E8 -9.037161391126648E7 1.570373476207043E7
2016-08-06_10:14:50 -1.9265693976349518E8 -8.927859628774244E7 3.419584673631647E7
2016-08-15_00:02:50 -1.8776566443559244E8 -8.75302979995862E7 5.244636707781337E7
2016-08-23_13:50:50 -1.8147692695215893E8 -8.512909697645755E7 7.029411737018842E7
2016-09-01_03:38:50 -1.7381066324737152E8 -8.208298916553529E7 8.762040183189648E7
2016-09-09_17:26:50 -1.6480346477119654E8 -7.840250057663804E7 1.0425660849923898E8
2016-09-18_07:14:50 -1.5324628119776103E8 -7.357756875716382E7 1.2179602209966597E8
