#time X Y Z
2014-10-25_19:32:50 3.889108219059423E7 1.9138690244466633E7 1.5594450045726918E7
2014-10-26_20:38:50 3.9988495232910365E7 2.0275146747333355E7 1.0292079805295886E7
2014-10-27_22:44:50 4.059129661601788E7 2.1140056562635314E7 5070492.325925267
2014-10-29_00:50:50 4.074012014224761E7 2.179126062680614E7 -412736.59114244184
2014-10-30_02:56:50 4.0407154788476266E7 2.2182632866528913E7 -5899315.253083531
2014-10-31_05:02:50 3.960238327097089E7 2.2316655647844303E7 -1.13092092718565E7
2014-11-01_07:08:50 3.834739032989916E7 2.219557423402959E7 -1.659800424344141E7
2014-11-02_09:14:50 3.666738795190985E7 2.183018950944349E7 -2.1703502456390347E7
2014-11-03_11:20:50 3.45980211361924E7 2.1231218177022785E7 -2.6571049191643346E7
2014-11-04_13:26:50 3.2171794555088572E7 2.0415141665216114E7 -3.117327322678695E7
2014-11-05_15:32:50 2.9432164961114675E7 1.9398350801086612E7 -3.546360928721118E7
2014-11-06_17:38:50 2.6413943688412488E7 1.820003946888224E7 -3.942831811260211E7
2014-11-07_19:44:50 2.316261183007424E7 1.6839837432963833E7 -4.3035791714513026E7
2014-11-08_21:50:50 1.9712313638851374E7 1.533565806055713E7 -4.628445689486029E7
2014-11-09_23:56:50 1.610536086302267E7 1.370894245980689E7 -4.91553542618506E7
2014-11-11_02:02:50 1.2373313748869395E7 1.1976304662852108E7 -5.165579152687418E7
2014-11-12_04:08:50 8553102.32085111 1.0157520258251227E7 -5.3776826441214316E7
2014-11-13_06:14:50 4671329.848118314 8268248.136875257 -5.5532070503304385E7
2014-11-14_08:20:50 759070.9659046689 6324443.369027078 -5.692375466918911E7
2014-11-15_10:26:50 -3156577.9365223404 4342039.805693011 -5.795592793054726E7
2014-11-16_12:32:50 -7054952.641093993 2332718.927582939 -5.864823223917229E7
2014-11-17_14:38:50 -1.0912595671190947E7 311231.34830851766 -5.900354281349842E7
2014-11-18_16:44:50 -1.471180771270266E7 -1713264.0120797553 -5.90434860759067E7
2014-11-19_18:50:50 -1.8434125244668286E7 -3729178.235254128 -5.877217902949853E7
2014-11-20_20:56:50 -2.2065406706680555E7 -5724893.403233949 -5.8212469416670136E7
2014-11-21_23:02:50 -2.5590638518189617E7 -7695188.687711726 -5.7368745069606595E7
2014-11-23_01:08:50 -2.899781654108087E7 -9627801.44022128 -5.6264857228704765E7
2014-11-24_03:14:50 -3.227508697737663E7 -1.15196781197159E7 -5.490497662168961E7
2014-11-25_05:20:50 -3.541349892146844E7 -1.3359172745089855E7 -5.331287713529133E7
2014-11-26_07:26:50 -3.8402000668407515E7 -1.5144829034001991E7 -5.149738688016383E7
2014-11-27_09:32:50 -4.123712246754214E7 -1.6867431460880313E7 -4.9465809023483664E7
2014-11-28_11:38:50 -4.3905393713522896E7 -1.852458394429211E7 -4.724466196105868E7
2014-11-29_13:44:50 -4.640703529949787E7 -2.010841378093546E7 -4.483280731736345E7
2014-11-30_15:50:50 -4.8728684197448835E7 -2.16175225866561E7 -4.225881523027269E7
2014-12-01_17:56:50 -5.087309736421269E7 -2.3044639339820035E7 -3.9519125783667944E7
2014-12-02_20:02:50 -5.282722580474853E7 -2.4388972820055652E7 -3.6643533001605056E7
2014-12-03_22:08:50 -5.459395699433819E7 -2.564676926990131E7 -3.3626712633375525E7
2014-12-05_00:14:50 -5.6164831560885474E7 -2.6809329576430116E7 -3.0499836251790795E7
2014-12-06_02:20:50 -5.754031908743067E7 -2.7880999689387277E7 -2.7254599845257938E7
2014-12-07_04:26:50 -5.871286468864344E7 -2.885198998253925E7 -2.3925439320253484E7
2014-12-08_06:32:50 -5.9680220440332025E7 -2.972548411180203E7 -2.0513322472080037E7
2014-12-09_08:38:50 -6.044634693499572E7 -3.04951717784794E7 -1.702006422340885E7
2014-12-10_10:44:50 -6.100028574644306E7 -3.1161289373643853E7 -1.3478863288824221E7
2014-12-11_12:50:50 -6.134756213646562E7 -3.171853712864375E7 -9880372.45827708
2014-12-12_14:56:50 -6.148003485664637E7 -3.2167847566734646E7 -6258655.210983681
2014-12-13_17:02:50 -6.1402248815196745E7 -3.25043279606914E7 -2604686.954063507
2014-12-14_19:08:50 -6.110798743833694E7 -3.272875421395119E7 1048130.576088573
2014-12-15_21:14:50 -6.060009142628873E7 -3.283857712979969E7 4707260.743822013
2014-12-16_23:20:50 -5.987676045779838E7 -3.2829432133957215E7 8339770.014570225
2014-12-18_01:26:50 -5.893799638276665E7 -3.270432240217671E7 1.1951863478097014E7
2014-12-19_03:32:50 -5.778383677870192E7 -3.245788224252929E7 1.5511444076532993E7
2014-12-20_05:38:50 -5.64152021400861E7 -3.2092519863221094E7 1.902149842741452E7
2014-12-21_07:44:50 -5.483319301250534E7 -3.1604521895166088E7 2.2451341101515222E7
2014-12-22_09:50:50 -5.303838300346202E7 -3.0994568757970165E7 2.5794664297291473E7
2014-12-23_11:56:50 -5.103424115662905E7 -3.0262175813595522E7 2.9042964393077586E7
2014-12-24_14:02:50 -4.882202747027943E7 -2.9406239267673455E7 3.2166456869984433E7
2014-12-25_16:08:50 -4.640642845961115E7 -2.842812935784673E7 3.516176515031407E7
2014-12-26_18:14:50 -4.379038912532247E7 -2.732674887133006E7 3.799950668580502E7
2014-12-27_20:20:50 -4.098053777719754E7 -2.6104492416863635E7 4.067365721324663E7
2014-12-28_22:26:50 -3.798062880889908E7 -2.4761572882448845E7 4.315538846082399E7
2014-12-30_00:32:50 -3.480124727040711E7 -2.3300989345788296E7 4.543538873057312E7
2014-12-31_02:38:50 -3.144760587917797E7 -2.1725154984527137E7 4.748475235735821E7
2015-01-01_04:44:50 -2.793345080975328E7 -2.0036544099125385E7 4.929312041646305E7
2015-01-02_06:50:50 -2.4265747458503176E7 -1.8239566532490365E7 5.083169269482625E7
2015-01-03_08:56:50 -2.0461594085775957E7 -1.6338286496220201E7 5.208339941492656E7
2015-01-04_11:02:50 -1.6538794800129322E7 -1.4343670795347676E7 5.303022790011928E7
2015-01-05_13:08:50 -1.251127201038275E7 -1.2256870564871179E7 5.364499264067383E7
2015-01-06_15:14:50 -8405134.675002394 -1.0094039875952229E7 5.391308869864581E7
2015-01-07_17:20:50 -4238638.434631884 -7858159.971323442 5.380850700543945E7
