#time X Y Z
2014-10-25_01:32:50 -238126.59290734297 -88949.48244631321 -294030.89439045516
2014-10-25_09:38:50 -258131.78721512185 -94972.22341000232 -272952.94279228384
2014-10-25_17:44:50 -276630.5550800325 -100430.1399518349 -250290.6164744497
2014-10-26_01:50:50 -293464.8781440349 -105363.85274142405 -226166.4001930197
2014-10-26_08:56:50 -308628.43644567736 -109474.80564855691 -200707.31200668967
2014-10-26_17:02:50 -320329.0098511583 -112691.18923372516 -177406.63791505783
2014-10-27_01:08:50 -331840.99150660494 -115731.04736052702 -149836.53215344218
2014-10-27_09:14:50 -341356.7909264198 -117973.28886202564 -121371.9313494778
2014-10-27_17:20:50 -348770.71128456254 -119434.04370530455 -92169.23710057951
2014-10-28_01:26:50 -353991.3941488031 -120199.85745838119 -62412.78477456481
2014-10-28_09:32:50 -356942.65228158195 -120328.2063349287 -32281.28192480315
2014-10-28_17:38:50 -357668.4444011267 -119602.86173986676 -1976.0194951839192
2014-10-29_01:44:50 -356129.2306761045 -118024.20429367069 28333.084906312943
2014-10-29_09:50:50 -352266.20229990256 -115775.30469183726 58441.71597822284
2014-10-29_17:56:50 -346095.144463433 -112862.26314357063 88147.76789695733
2014-10-30_02:02:50 -337708.394357012 -109050.27720239897 117269.36697381223
2014-10-30_10:08:50 -327047.53640221595 -104664.91147000337 145615.88396845147
2014-10-30_18:14:50 -314268.81787050696 -99475.67425519276 172968.2969991997
2014-10-31_02:20:50 -299352.36004659685 -93713.10003267552 199176.2459610687
2014-10-31_10:26:50 -282443.9035876618 -87271.87368680173 224039.91628755652
2014-10-31_18:32:50 -263637.0361846979 -80248.42247837773 247381.51060151876
2014-11-01_02:38:50 -243027.5554758324 -72678.20953370637 269057.84496865625
2014-11-01_10:44:50 -220780.93372712142 -64552.75416829346 288899.4230142888
2014-11-01_18:50:50 -196991.99182123685 -56088.584595114124 306769.3035082298
2014-11-02_02:56:50 -171867.32879646294 -47143.69759746209 322543.4139548689
2014-11-02_11:02:50 -145538.1517100948 -37905.16943299173 336108.3319578815
2014-11-02_19:08:50 -118197.7286502056 -28427.84156089614 347361.7277180842
2014-11-03_03:14:50 -90021.48982808298 -18725.488065128513 356235.08330994076
2014-11-03_11:20:50 -61181.90646289061 -8957.09200327574 362662.18436568463
2014-11-03_19:26:50 -31987.083341434438 1039.5486191621803 366584.31298395514
2014-11-04_03:32:50 -2472.0960473417354 10878.048986546803 368004.18120569654
2014-11-04_11:38:50 27080.879008679476 20641.51964286428 366901.9430893198
2014-11-04_19:44:50 56373.21716833774 30455.275858921876 363289.8955371812
2014-11-05_03:50:50 85344.21457706526 39992.81696532408 357211.62228620105
2014-11-05_11:56:50 113816.75343369842 49117.93431578467 348718.1279733977
2014-11-05_20:02:50 141436.9414253682 58123.298264434896 337876.2742867588
2014-11-06_04:08:50 168201.33661655887 66594.992281508 324780.8527269594
2014-11-06_12:14:50 193836.6781102855 74688.78780259761 309532.6927941979
2014-11-06_20:20:50 218241.48459769922 82185.17537060674 292250.5139161218
2014-11-07_04:26:50 241120.8930256643 89446.685299781 273076.39161218575
2014-11-07_12:32:50 262594.78755716886 95774.98245266214 252137.49620078466
2014-11-07_20:38:50 282292.5003540755 101760.61694282075 229603.58624230121
2014-11-08_04:44:50 300271.49907950335 106927.40282259519 205622.0578474512
2014-11-08_12:50:50 316286.78523816663 111700.00967770554 180377.99011360772
2014-11-08_20:56:50 330436.7224208026 115561.3381053349 154030.580737276
2014-11-09_05:02:50 342581.29211363767 118680.62455433728 126750.66597212743
2014-11-09_13:08:50 352623.27759340283 121220.71840247326 98732.49908186168
2014-11-09_21:14:50 360572.8017268311 123037.00597066236 70143.77734419254
2014-11-10_05:20:50 366416.55907791114 124077.6807828556 41154.33678363763
2014-11-10_13:26:50 370186.50434088433 124275.67585222286 11952.59488214509
2014-11-10_21:32:50 371788.19347604754 123895.37956916557 -17297.779548281524
2014-11-11_05:38:50 371263.8788180765 122856.7868833376 -46439.12259049589
2014-11-11_13:44:50 368663.617373099 121143.00186376931 -75292.8428697512
2014-11-11_21:50:50 364060.20380464254 118644.7220053498 -103707.24087369429
2014-11-12_05:56:50 357402.88034083013 115637.6461926017 -131546.38167536526
2014-11-12_14:02:50 348834.0244818687 111948.05345842867 -158638.61640910408
2014-11-12_22:08:50 338409.81742968335 107578.22594788611 -184858.02029759728
2014-11-13_06:14:50 326138.892829661 102714.93026628305 -210085.93751627285
2014-11-13_14:20:50 312165.98738009285 97247.00274085546 -234170.54772698553
2014-11-13_22:26:50 296529.37591526733 91314.89925629197 -257006.9570240294
2014-11-14_06:32:50 279319.84142526897 84906.10049323598 -278490.5407877776
2014-11-14_14:38:50 260672.2235845179 78014.54521772338 -298495.6076233857
2014-11-14_22:44:50 240616.03164508307 70830.84973487773 -316943.27646662033
2014-11-15_06:50:50 219351.22045265223 63110.52912882722 -333731.4273629618
2014-11-15_14:56:50 196909.91107733716 55169.06613947435 -348776.2370200978
2014-11-15_23:02:50 173455.45997881706 46893.51948014607 -361998.12420580315
2014-11-16_07:08:50 149071.04805037772 38376.66822096207 -373338.8587282825
2014-11-16_15:14:50 123907.22731244811 29665.496788518332 -382721.76676427334
2014-11-16_23:20:50 98053.87276403794 20859.049919773137 -390103.37281605956
2014-11-17_07:26:50 71707.37714165478 11852.370456571998 -395427.5374369705
2014-11-17_15:32:50 44942.03645694304 2796.574824050004 -398669.06683219364
2014-11-17_23:38:50 17950.97298749278 -6311.429610863574 -399783.24467344274
2014-11-18_07:44:50 -9168.935128808418 -15352.228757214218 -398759.9751846095
2014-11-18_15:50:50 -36268.14198933582 -24332.570002016888 -395590.00975207245
2014-11-18_23:56:50 -63173.80950963474 -33190.65261366993 -390266.22235488
2014-11-19_08:02:50 -89752.93222355164 -41872.96124796796 -382801.0549999375
2014-11-19_16:08:50 -115851.2162042327 -50367.71618897586 -373220.2532716793
2014-11-20_00:14:50 -141352.08957431806 -58483.39800781748 -361546.7079644715
2014-11-20_08:20:50 -166025.2003277633 -66392.9903113401 -347832.4387811222
2014-11-20_16:26:50 -189820.7009554892 -73834.41951188481 -332131.0139632463
2014-11-21_00:32:50 -212467.7051710261 -80996.90331092669 -314512.67795026425
2014-11-21_08:38:50 -238126.59290734297 -88949.48244631321 -294030.89439045516
