#time X Y Z
2016-11-15_01:26:50 -1.6160571915349226E9 -7.633757509729229E8 4.111924157561485E9
2018-12-07_10:26:50 -1.3068774125087872E9 -6.399365678666549E8 4.2379841751935225E9
2020-12-28_19:26:50 -9.892744464074272E8 -5.124039842312804E8 4.338031763983173E9
2023-01-20_04:26:50 -6.647135918138151E8 -3.8133973059768E8 4.410928589974193E9
2025-02-10_13:26:50 -3.353342643606971E8 -2.4754728253093535E8 4.455320851818351E9
2027-03-04_22:26:50 -3955623.4625924085 -1.1226429994385992E8 4.470537707360224E9
2029-03-26_08:26:50 3.267017082325449E8 2.3414003419444624E7 4.4571270797134285E9
2031-04-17_17:26:50 6.548535930653117E8 1.5874544502120203E8 4.415850871250189E9
2033-05-09_02:26:50 9.790142437214614E8 2.93125468261127E8 4.3470496981133E9
2035-05-31_11:26:50 1.2975249446387053E9 4.259074703418876E8 4.2506110518962717E9
2037-06-21_20:26:50 1.6081447915764346E9 5.561227778615838E8 4.126349312444511E9
2039-07-14_05:26:50 1.9080150319879332E9 6.82592611399856E8 3.975015010926377E9
2041-08-04_14:26:50 2.1949076588468585E9 8.043532244682763E8 3.7984058056903567E9
2043-08-26_23:26:50 2.4674818801292496E9 9.208227726299618E8 3.598241101917413E9
2045-09-17_08:26:50 2.7246818489326525E9 1.031553105786082E9 3.37569707514868E9
2047-10-09_17:26:50 2.9651734128051853E9 1.1359840434724908E9 3.1315153787106843E9
2049-10-31_02:26:50 3.1870092088749747E9 1.233290618722923E9 2.8664798688802166E9
2051-11-22_10:26:50 3.3879179933352885E9 1.322482931665792E9 2.5824918230899262E9
2053-12-13_19:26:50 3.566496878766326E9 1.4029200375516346E9 2.2822364030878186E9
2056-01-05_04:26:50 3.722203652761709E9 1.4743340555105586E9 1.9680383181156478E9
2058-01-26_13:26:50 3.8546437084863353E9 1.5365322846858592E9 1.6416614938144233E9
2060-02-17_22:26:50 3.963114972841649E9 1.589170779317404E9 1.3044546519281867E9
2062-03-11_07:26:50 4.046274447487925E9 1.631699738545042E9 9.579766868359066E8
2064-04-01_17:26:50 4.1028461958030996E9 1.6634914109597588E9 6.049653336552787E8
2066-04-24_02:26:50 4.1326246897687755E9 1.6843877691876676E9 2.4853864722024173E8
2068-05-15_11:26:50 4.136103247377913E9 1.6945391510267391E9 -1.0867488476718594E8
2070-06-06_20:26:50 4.1138837773090415E9 1.6941555072116785E9 -4.6480379839845943E8
2072-06-28_05:26:50 4.066169000074687E9 1.6832368321176152E9 -8.183746371279123E8
