#time X Y Z
2015-03-08_04:08:50 -1.1412830524209352E9 -4.347776545208826E8 -8.48761182679726E8
2015-07-20_16:50:50 -1.1964717506768613E9 -4.6136461074006E8 -7.604699119127338E8
2015-12-02_03:32:50 -1.2452024082043164E9 -4.85447555942071E8 -6.68011672443702E8
2016-04-14_16:14:50 -1.2871862138063123E9 -5.069141430092078E8 -5.71993905089483E8
2016-08-27_03:56:50 -1.322321224833872E9 -5.2568499954806006E8 -4.728292322898359E8
2017-01-08_14:38:50 -1.3503939728631217E9 -5.416485423117301E8 -3.7116417274848264E8
2017-05-23_03:20:50 -1.3713028856810527E9 -5.5474031875997E8 -2.6747285039575294E8
2017-10-04_15:02:50 -1.3849580290470715E9 -5.648739686337988E8 -1.623321309731073E8
2018-02-16_01:44:50 -1.3912796699638343E9 -5.720401278754783E8 -5.635330977630114E7
2018-06-30_14:26:50 -1.3902578147146838E9 -5.761857069708548E8 4.990397457204576E7
2018-11-12_01:08:50 -1.3818919341085098E9 -5.772876379844553E8 1.5604671794205675E8
2019-03-26_12:50:50 -1.3662360894150677E9 -5.753458954489791E8 2.6123225349388504E8
2019-08-08_01:32:50 -1.3433579780107765E9 -5.703341308303452E8 3.65085230905707E8
2019-12-20_12:14:50 -1.3133333878665216E9 -5.623162410332384E8 4.67042846634135E8
2020-05-03_00:56:50 -1.2763497015482638E9 -5.513173690476999E8 5.664506266775391E8
2020-09-14_12:38:50 -1.2324903084797704E9 -5.373494281039811E8 6.629479037516533E8
2021-01-26_23:20:50 -1.1820505792318504E9 -5.2051121512945503E8 7.557907140906001E8
2021-06-10_12:02:50 -1.1252553032738202E9 -5.0084763104861796E8 8.445290621446474E8
2021-10-22_23:44:50 -1.0623148822897173E9 -4.784771298112339E8 9.287530336377047E8
2022-03-06_10:26:50 -9.935729200459791E8 -4.534920617865913E8 1.0078573118146204E9
2022-07-18_23:08:50 -9.193593355641663E8 -4.260097300230471E8 1.08141144907832E9
2022-11-30_09:50:50 -8.400256192816299E8 -3.9615476721648115E8 1.148977087329866E9
2023-04-13_22:32:50 -7.56065610498054E8 -3.640934218460528E8 1.210052126313024E9
2023-08-26_10:14:50 -6.677908921511961E8 -3.2997936018198884E8 1.2643538169355555E9
2024-01-07_20:56:50 -5.75736675553691E8 -2.9399502874672025E8 1.3113930251561654E9
2024-05-21_09:38:50 -4.803956695652754E8 -2.5632883441582808E8 1.3508602596084318E9
2024-10-02_21:20:50 -3.8224027263571507E8 -2.1716276416849744E8 1.3824655301467147E9
2025-02-14_08:02:50 -2.818898187994218E8 -1.767281643423312E8 1.4059047405974097E9
2025-06-28_20:44:50 -1.7992319614442566E8 -1.352828573879736E8 1.4209806356109545E9
2025-11-10_07:26:50 -7.68194371265974E7 -9.299828347003838E7 1.4274612336339688E9
2026-03-24_19:08:50 2.666293242263943E7 -5.0183124239683405E7 1.4252135643082633E9
2026-08-06_07:50:50 1.2998255729172687E8 -7051669.426608898 1.414152183636593E9
2026-12-18_18:32:50 2.324995431304011E8 3.6121528879660554E7 1.3942263143534598E9
2027-05-02_07:14:50 3.334621383406968E8 7.903152946124156E7 1.3654972499952114E9
2027-09-13_18:56:50 4.3231102866814196E8 1.2144672766285993E8 1.3279533442152803E9
2028-01-26_05:38:50 5.282833676338679E8 1.6304587656392196E8 1.2817884454004257E9
2028-06-08_18:20:50 6.207516225859132E8 2.0355549519300294E8 1.227193913305535E9
2028-10-21_06:02:50 7.091197616170176E8 2.427283677864505E8 1.164389943144571E9
2029-03-04_16:44:50 7.926768756944175E8 2.802503876881978E8 1.0937698666818807E9
2029-07-17_05:26:50 8.70779555097065E8 3.158420264548311E8 1.0156950639790926E9
2029-11-28_16:08:50 9.4288046273054E8 3.492578927501328E8 9.306142686711398E8
2030-04-12_04:50:50 1.0084040187823579E9 3.80223633744945E8 8.390743265128517E8
