#time X Y Z
2015-11-13_16:08:50 7.103535154792402E8 2.7013405541936445E8 2.895706213557052E9
2016-12-02_15:50:50 8.992557933877374E8 3.538140959602081E8 2.8283756673681755E9
2017-12-22_15:32:50 1.083154909329287E9 4.355294992642533E8 2.745603928592051E9
2019-01-11_15:14:50 1.2611329852594516E9 5.148504395247691E8 2.6476932834016833E9
2020-01-31_14:56:50 1.4321187117109747E9 5.9132549919867E8 2.5351802488465796E9
2021-02-19_14:38:50 1.5952722799013474E9 6.64555393984315E8 2.408386094079087E9
2022-03-11_14:20:50 1.7495452224820712E9 7.341020605528538E8 2.2679431091194596E9
2023-03-31_15:02:50 1.8939965617128882E9 7.995188722502905E8 2.1142971020222306E9
2024-04-19_14:44:50 2.0275452374552937E9 8.603542027651768E8 1.9482325027982311E9
2025-05-09_14:26:50 2.1492569042410884E9 9.161568573181838E8 1.7705985410812979E9
2026-05-29_14:08:50 2.2580935904519677E9 9.66489788124086E8 1.582414913665287E9
2027-06-18_13:50:50 2.3533686097133393E9 1.0110197050833632E9 1.3848203387302308E9
2028-07-07_13:32:50 2.4343151287205195E9 1.04937581795003E9 1.17902319159814E9
2029-07-27_13:14:50 2.5004549229403205E9 1.0813619322119758E9 9.662608663796531E8
2030-08-16_12:56:50 2.5512312764781404E9 1.1066834002315607E9 7.477733949491125E8
2031-09-05_12:38:50 2.586326266623044E9 1.1252144480455706E9 5.24830854634151E8
2032-09-24_12:20:50 2.6053264740896163E9 1.136724517686795E9 2.987042996020568E8
2033-10-14_12:02:50 2.6080406632874093E9 1.1411433368580275E9 7.06768460449228E7
2034-11-03_10:44:50 2.594160761536103E9 1.1382882671007025E9 -1.5791137247374997E8
2035-11-23_10:26:50 2.563580919029729E9 1.1281249185269244E9 -3.856867930950313E8
2036-12-12_10:08:50 2.5161157882544155E9 1.1105239255769112E9 -6.111397831092995E8
2038-01-01_09:50:50 2.4518120611314797E9 1.0855103098707864E9 -8.327319386333807E8
2039-01-21_09:32:50 2.370948807953993E9 1.0531567381846131E9 -1.0487319101043489E9
2040-02-10_09:14:50 2.2738140629300623E9 1.0135878668444322E9 -1.257575751766717E9
2041-03-01_08:56:50 2.1611151937829447E9 9.670784295762085E8 -1.4576098108289187E9
2042-03-21_08:38:50 2.033470125971062E9 9.138659993010669E8 -1.6474264908822072E9
2043-04-10_09:20:50 1.8918518633017735E9 8.543753637489737E8 -1.82556618318466E9
2044-04-29_09:02:50 1.7370804098878777E9 7.889313948123989E8 -1.9908384592340572E9
2045-05-19_08:44:50 1.5702984937273026E9 7.180328797675023E8 -2.1420419393676755E9
2046-06-08_08:26:50 1.3926303542516668E9 6.421462856606404E8 -2.278056698388616E9
2047-06-28_08:08:50 1.2050942722938747E9 5.617165365034935E8 -2.3980836705748014E9
2048-07-17_07:50:50 1.0089892373595977E9 4.7729352762728405E8 -2.501103745997683E9
2049-08-06_07:32:50 8.054379490440892E8 3.8936315727053714E8 -2.5863726427739773E9
2050-08-26_07:14:50 5.959729519517959E8 2.9858200645742416E8 -2.65302618068099E9
2051-09-15_06:56:50 3.819368366667137E8 2.0552824010600668E8 -2.7004908224670134E9
2052-10-04_06:38:50 1.651128147576778E8 1.1097689664111182E8 -2.728276467376478E9
2053-10-24_06:20:50 -5.302157174251174E7 1.5565665363018746E7 -2.736161395191635E9
2054-11-13_05:02:50 -2.706303213717478E8 -7.990075879553579E7 -2.7241130608316593E9
2055-12-03_04:44:50 -4.862220684304317E8 -1.7475961754924068E8 -2.6923275263329887E9
2056-12-22_04:26:50 -6.980734156942345E8 -2.6826311508982766E8 -2.6411911823865557E9
2058-01-11_04:08:50 -9.048360477449154E8 -3.597963526814147E8 -2.571257887847326E9
2059-01-31_03:50:50 -1.1049556350661235E9 -4.4868447301640886E8 -2.4832546375455217E9
2060-02-20_03:32:50 -1.2973448343435936E9 -5.344185673017885E8 -2.3779421606641073E9
2061-03-11_03:14:50 -1.4807414701099725E9 -6.164550040293636E8 -2.2561274888579373E9
2062-03-31_03:56:50 -1.654001617548902E9 -6.942580618310668E8 -2.118784330917242E9
2063-04-20_03:38:50 -1.816108426081714E9 -7.673947590185357E8 -1.9666896460994627E9
2064-05-09_03:20:50 -1.96593274260413E9 -8.353318008771274E8 -1.801083666507703E9
2065-05-29_03:02:50 -2.1025502692994184E9 -8.976761803986347E8 -1.62301693364652E9
2066-06-18_02:44:50 -2.224991179295081E9 -9.539584946193713E8 -1.4338602204592962E9
2067-07-08_02:26:50 -2.332596658637039E9 -1.0038993997497201E9 -1.2349787636410086E9
2068-07-27_02:08:50 -2.4246463655672274E9 -1.0471491788142741E9 -1.0278906881003964E9
2069-08-16_01:50:50 -2.500799280340169E9 -1.0835182309836175E9 -8.141089279867126E8
2070-09-05_01:32:50 -2.5606662645558176E9 -1.112845010280756E9 -5.952341533050663E8
2071-09-25_01:14:50 -2.604254948648316E9 -1.1350772184512038E9 -3.7277155492699945E8
2072-10-14_00:56:50 -2.631494789108924E9 -1.1501948904030974E9 -1.4817622454984036E8
2073-11-02_23:38:50 -2.6425985353372197E9 -1.1582398144226167E9 7.722791223637448E7
2074-11-22_23:20:50 -2.637599562693262E9 -1.1592418181787283E9 3.021418792757065E8
2075-12-12_23:02:50 -2.6167621845916433E9 -1.1532689445759697E9 5.253817995351364E8
2076-12-31_22:44:50 -2.5802028992128706E9 -1.1403865288377357E9 7.456175192870592E8
2078-01-20_22:26:50 -2.5282911809320316E9 -1.1207098066168234E9 9.616672887888905E8
2079-02-09_22:08:50 -2.46135638341554E9 -1.0943941648315012E9 1.1721884173691592E9
2080-02-29_21:50:50 -2.3798075642258863E9 -1.0615732641098455E9 1.375980479311281E9
2081-03-20_21:32:50 -2.2843113680670514E9 -1.0225473613700724E9 1.571771191227612E9
2082-04-09_22:14:50 -2.175450571995102E9 -9.775274896397966E8 1.75843056768634E9
2083-04-29_21:56:50 -2.0541430279362137E9 -9.269235995390806E8 1.9348431158458514E9
2084-05-18_21:38:50 -1.9212082736953197E9 -8.710661263266492E8 2.1000821326846478E9
2085-06-07_21:20:50 -1.7777158894706109E9 -8.104041768025291E8 2.2533294984881725E9
2086-06-27_21:02:50 -1.6244361653899312E9 -7.452831835848137E8 2.3939862106096597E9
2087-07-17_20:44:50 -1.4624012247324698E9 -6.761336242379472E8 2.52141231905399E9
2088-08-05_20:26:50 -1.2924113216400905E9 -6.033112719730315E8 2.6350485603313365E9
2089-08-25_20:08:50 -1.1152658510204449E9 -5.271508296101103E8 2.7344528524403205E9
2090-09-14_19:50:50 -9.320272239427521E8 -4.4811726375571793E8 2.8189927552633324E9
2091-10-04_19:32:50 -7.434720196051036E8 -3.665403948297467E8 2.8882940076782966E9
2092-10-23_19:14:50 -5.507745550784776E8 -2.829282742313497E8 2.9418320653419E9
2093-11-12_17:56:50 -3.548166153142253E8 -1.9766206137260482E8 2.9792632228081183E9
2094-12-02_17:38:50 -1.5695458103270942E8 -1.1132542156038189E8 3.0002582334199247E9
2095-12-22_17:20:50 4.1851405911137044E7 -2.4342134256507494E7 3.004683051294976E9
2097-01-10_17:02:50 2.4018088452083334E8 6.267530332468833E7 2.9925381417818766E9
2098-01-30_16:44:50 4.370747908387205E8 1.4929993661663058E8 2.9639891976140075E9
2099-02-19_16:26:50 7.103535154792402E8 2.7013405541936445E8 2.895706213557052E9
