#time X Y Z
2014-10-27_11:38:50 -5.268301792182305E7 -1.7825174386126425E7 -9.265975920002049E7
2014-10-30_06:50:50 -5.8991030045684E7 -2.094660367233266E7 -8.816128624932212E7
2014-11-02_02:02:50 -6.50346727581317E7 -2.3987348756978925E7 -8.305785831592828E7
2014-11-04_21:14:50 -7.067865399506542E7 -2.688281853911134E7 -7.744494746447723E7
2014-11-07_16:26:50 -7.589069636304027E7 -2.961189248843626E7 -7.135785010178329E7
2014-11-10_11:38:50 -8.063887845273662E7 -3.215993897018714E7 -6.483458973247358E7
2014-11-13_06:50:50 -8.489496924476746E7 -3.451170839217135E7 -5.791561734759316E7
2014-11-16_02:02:50 -8.863377297777043E7 -3.665316331948992E7 -5.064371848165909E7
2014-11-18_21:14:50 -9.183343039631787E7 -3.857164504637913E7 -4.3064011652051404E7
2014-11-21_16:26:50 -9.447504884532799E7 -4.025572565504766E7 -3.522232705938754E7
2014-11-24_11:38:50 -9.654251667668529E7 -4.169783947610261E7 -2.7166927787035573E7
2014-11-27_06:50:50 -9.802600611688554E7 -4.288505597102139E7 -1.8946942415079933E7
2014-11-30_02:02:50 -9.891633574375996E7 -4.381276313332893E7 -1.0612251355236623E7
2014-12-02_21:14:50 -9.920881087396915E7 -4.4475686122080125E7 -2213403.0070797894
2014-12-05_16:26:50 -9.890235494841714E7 -4.487012053398421E7 6198352.725362786
2014-12-08_11:38:50 -9.799956009803773E7 -4.499401062715005E7 1.4573205627550647E7
2014-12-11_06:50:50 -9.65051437062005E7 -4.484878377937719E7 2.286023779183092E7
2014-12-14_02:02:50 -9.44306695594692E7 -4.44314605400734E7 3.100963692300993E7
2014-12-16_21:14:50 -9.178806128790843E7 -4.374683753470839E7 3.897250169131348E7
2014-12-19_16:26:50 -8.859354020543855E7 -4.279922682851937E7 4.670104556100865E7
2014-12-22_11:38:50 -8.486683461133511E7 -4.159455129215564E7 5.4148451182828784E7
2014-12-25_06:50:50 -8.063009272824262E7 -4.013994474002185E7 6.127108526467334E7
2014-12-28_02:02:50 -7.590836316436335E7 -3.844567449309848E7 6.802565566166484E7
2014-12-30_21:14:50 -7.073149233798057E7 -3.651905984736889E7 7.437177725475211E7
2015-01-02_16:26:50 -6.512986367343347E7 -3.437319400389102E7 8.027128335125327E7
2015-01-05_11:38:50 -5.913706436217645E7 -3.2020953714731812E7 8.568870389347489E7
2015-01-08_06:50:50 -5.2789402408368915E7 -2.947658770766726E7 9.05910986603567E7
2015-01-11_02:02:50 -4.612407884165194E7 -2.675495994578663E7 9.494935852550028E7
2015-01-13_21:14:50 -3.9181274294089854E7 -2.3873000878474284E7 9.873681820949906E7
2015-01-16_16:26:50 -3.200301717438011E7 -2.0846871978829846E7 1.0193037476250191E8
2015-01-19_11:38:50 -2.463212353146962E7 -1.769533810738767E7 1.0451033309910597E8
2015-01-22_06:50:50 -1.7112825759580974E7 -1.4437258058303425E7 1.0646067729720107E8
2015-01-25_02:02:50 -9490680.221312152 -1.1092339704582063E7 1.0776903140346754E8
