#constelname,HIP
Orion,22509
Orion,22449
Orion,22549
Orion,22797
Orion,23123
Orion,25336
Orion,25930
Orion,25281
Orion,24674
Orion,24436
Orion,27366
Orion,26727
Orion,27989
Orion,26207
Orion,25336
JUMP,JUMP
Orion,26727
Orion,26311
Orion,25930
JUMP,JUMP
Orion,27989
Orion,28614
Orion,29038
Orion,27913
JUMP,JUMP
Orion,28614
Orion,29426
Orion,28716
JUMP,JUMP
Gemini,36850
Gemini,36366
Gemini,34693
Gemini,32246
Gemini,30343
Gemini,29655
JUMP,JUMP
Gemini,32246
Gemini,30883
JUMP,JUMP
Gemini,37740
Gemini,36962
Gemini,36046
Gemini,34693
Gemini,33018
JUMP,JUMP
Gemini,37826
Gemini,36962
Gemini,35550
Gemini,34088
Gemini,31681
JUMP,JUMP
Gemini,35550
Gemini,35350
Gemini,32362
JUMP,JUMP
Cancer,43103
Cancer,42806
Cancer,42911
Cancer,40526
Cancer,39567
Cancer,42806
JUMP,JUMP
Cancer,42911
Cancer,44066
JUMP,JUMP
Canis Minor,37279
Canis Minor,36188
JUMP,JUMP
Canis Major,33347
Canis Major,33160
Canis Major,34045
Canis Major,33347
Canis Major,32349
Canis Major,31700
Canis Major,31592
Canis Major,30324
JUMP,JUMP
Canis Major,32349
Canis Major,33977
Canis Major,34444
Canis Major,33579
Canis Major,33152
Canis Major,31592
Canis Major,31125
JUMP,JUMP
Canis Major,34444
Canis Major,35037
Canis Major,35904
JUMP,JUMP
Canis Major,33579
Canis Major,30122
JUMP,JUMP
Canis Major,33579
Canis Major,32759
JUMP,JUMP
Monoceros,31978
Monoceros,31216
Monoceros,30419
Monoceros,32578
Monoceros,34769
Monoceros,39211
Monoceros,39863
JUMP,JUMP
Monoceros,31216
Monoceros,32578
JUMP,JUMP
Monoceros,39211
Monoceros,37447
JUMP,JUMP
Monoceros,34769
Monoceros,30867
Monoceros,29651
JUMP,JUMP
Lepus,24305
Lepus,25985
Lepus,27288
Lepus,28103
Lepus,28910
Lepus,27654
Lepus,27072
Lepus,25606
Lepus,25985
JUMP,JUMP
Lepus,25606
Lepus,23685
Lepus,24305
Lepus,24845
JUMP,JUMP
Lepus,24305
Lepus,24327
JUMP,JUMP
Sextans,49641
Sextans,51437
Sextans,48437
Sextans,49641
JUMP,JUMP
Pyxis,42515
Pyxis,42828
Pyxis,43409
JUMP,JUMP
Triangulum,8796
Triangulum,10064
Triangulum,10670
Triangulum,8796
JUMP,JUMP
Aries,8832
Aries,8903
