#time X Y Z
2014-07-31_06:16:17 -1.123905557548834E8 -4.872696467040393E7 8.980565949373296E7
2014-08-02_02:04:17 -1.0980412681591102E8 -4.760574822874672E7 9.347678140192412E7
2014-08-03_21:52:17 -1.071148489484518E8 -4.643997486620672E7 9.705744159328002E7
2014-08-05_17:40:17 -1.0432478127566305E8 -4.523051125820125E7 1.005458615265461E8
2014-08-07_13:28:17 -1.0143676648296908E8 -4.397855736630878E7 1.0393879534963436E8
2014-08-09_09:16:17 -9.845369098729928E7 -4.268533249004797E7 1.0723323785211009E8
2014-08-11_05:04:17 -9.53784173406604E7 -4.135205402900937E7 1.1042634940003632E8
2014-08-13_00:52:17 -9.2213702061462E7 -3.997991044963663E7 1.1351543151394644E8
2014-08-14_20:40:17 -8.89614839046132E7 -3.856975537124272E7 1.1649923947818911E8
2014-08-16_16:28:17 -8.562582726353131E7 -3.712338113597573E7 1.1937210926776299E8
2014-08-18_12:16:17 -8.220871530984555E7 -3.56416858021327E7 1.2213260213792841E8
2014-08-20_08:04:17 -7.871302471972972E7 -3.412595299232033E7 1.2477774889076015E8
2014-08-22_03:52:17 -7.514185671461411E7 -3.257755371899291E7 1.2730463527842559E8
2014-08-23_23:40:17 -7.149849094020748E7 -3.099792288362937E7 1.2971042213995874E8
2014-08-25_19:28:17 -6.778638300762656E7 -2.938856003220253E7 1.3199242439117032E8
2014-08-27_15:16:17 -6.4008451965893336E7 -2.775072342609385E7 1.3414931829648916E8
2014-08-29_11:04:17 -6.016982404580727E7 -2.6086621384871665E7 1.3617627404520604E8
2014-08-31_06:52:17 -5.6273647977562316E7 -2.439759853234038E7 1.380723627471467E8
2014-09-02_02:40:17 -5.232385408091733E7 -2.2685332256350055E7 1.3983562159707546E8
2014-09-03_22:28:17 -4.832441421589173E7 -2.095151286735671E7 1.414643422004107E8
2014-09-05_18:16:17 -4.427933431455127E7 -1.9197846250433616E7 1.4295702188054404E8
2014-09-07_14:04:17 -4.0192540923190646E7 -1.742601250553295E7 1.443123957459391E8
2014-09-09_09:52:17 -3.606783743395442E7 -1.5637654755523443E7 1.455293622803237E8
2014-09-11_05:40:17 -3.1908386900317162E7 -1.383415785006271E7 1.466079281115298E8
2014-09-13_01:28:17 -2.771885859637144E7 -1.2017576828298105E7 1.4754493974839193E8
2014-09-14_21:16:17 -2.3502309313497476E7 -1.0189276302049166E7 1.4834028929605955E8
2014-09-16_17:04:17 -1.926246391268768E7 -8350908.722337965 1.4899279216570982E8
2014-09-18_12:52:17 -1.5003269312647007E7 -6504212.713074984 1.4950128062527436E8
2014-09-20_08:40:17 -1.0728794562137408E7 -4650965.906657612 1.4986473349550465E8
2014-09-22_04:28:17 -6443243.387822671 -2792991.757299037 1.5008230967345974E8
2014-09-24_00:16:17 -2150541.530089896 -931983.1987858908 1.5015431425060892E8
2014-09-25_20:04:17 2144150.1933478317 929838.7965088827 1.5007840716114914E8
2014-09-27_15:52:17 6436784.618647953 2790741.9239145685 1.49855310151774E8
2014-09-29_11:40:17 1.0722900438910501E7 4648819.619376545 1.4948504231358203E8
2014-10-01_07:28:17 1.4997997600765327E7 6502152.255486967 1.4896788614998507E8
2014-10-03_03:16:17 1.925768487686084E7 8348865.976716028 1.4830437701220575E8
2014-10-04_23:04:17 2.3497664934397236E7 1.018711841196232E7 1.4749527429622343E8
2014-10-06_18:52:17 2.771397941811678E7 1.2015198270270333E7 1.465424513516056E8
2014-10-08_14:40:17 3.1902272700757217E7 1.383120310304851E7 1.454450564943143E8
2014-10-10_10:28:17 3.605894491522511E7 1.5633541884954525E7 1.442050439149521E8
2014-10-12_06:16:17 4.018022214298203E7 1.742053936891344E7 1.428233804777144E8
2014-10-14_02:04:17 4.426230410222013E7 1.9190510429489527E7 1.4130098514774922E8
2014-10-15_21:52:17 4.830121132830308E7 2.09417017505467E7 1.3963883987016582E8
2014-10-17_17:40:17 5.229290296311423E7 2.267234730060084E7 1.378380360135745E8
2014-10-19_13:28:17 5.623326323054613E7 2.438066142937222E7 1.3590089077673957E8
2014-10-21_09:16:17 6.011809234319874E7 2.606483275626382E7 1.3382687618676165E8
2014-10-23_05:04:17 6.394325214400345E7 2.7723084437058497E7 1.3161870869854082E8
2014-10-25_00:52:17 6.77045689012982E7 2.9353631032886557E7 1.2927832519565204E8
2014-10-26_19:40:17 7.139790559856266E7 3.0954707451463412E7 1.268078778174485E8
2014-10-28_15:28:17 7.493731444438241E7 3.2489084975370917E7 1.242706830660076E8
2014-10-30_11:16:17 7.848435319994895E7 3.402682934072349E7 1.21550520195017E8
2014-11-01_07:04:17 8.195172889088205E7 3.553011778762132E7 1.1870826027254374E8
2014-11-03_02:52:17 8.53359245954E7 3.699742924443123E7 1.1574694465181643E8
2014-11-04_22:40:17 8.86334592852261E7 3.842724029946842E7 1.1267091878265676E8
2014-11-06_18:28:17 9.184152395639643E7 3.981830311793449E7 1.094808168890045E8
2014-11-08_14:16:17 9.495698267472947E7 4.116922022585206E7 1.0618088784855136E8
2014-11-10_10:04:17 9.797687738987939E7 4.247867278734587E7 1.0277412112074913E8
2014-11-12_05:52:17 1.0089817956515175E8 4.3745320519468576E7 9.926351770272174E7
2014-11-14_01:40:17 1.0371783431379025E8 4.496782476752672E7 9.565216402561742E7
2014-11-15_21:28:17 1.064327631898302E8 4.614484919090393E7 9.194331272740845E7
2014-11-17_17:16:17 1.0903973709365131E8 4.727500276058475E7 8.814181830847128E7
2014-11-19_13:04:17 1.1153609481127782E8 4.8357148961495295E7 8.424845048171905E7
2014-11-21_08:52:17 1.1391873913241696E8 4.938996908181675E7 8.026841123126653E7
2014-11-23_04:40:17 1.1618482060379457E8 5.037225670800832E7 7.620570173355141E7
2014-11-25_00:28:17 1.1833160580711953E8 5.130285833921001E7 7.206451733186369E7
2014-11-26_20:16:17 1.2035656779966974E8 5.2180706778790146E7 6.784929740394363E7
2014-11-28_16:04:17 1.2225744205495605E8 5.300483829614471E7 6.356464664951993E7
2014-11-30_11:52:17 1.2403213892087343E8 5.3774348776847795E7 5.921689172096519E7
2014-12-02_07:40:17 1.256791711784954E8 5.448857762287484E7 5.4807468263569966E7
2014-12-04_03:28:17 1.2719695479169005E8 5.514680759939562E7 5.03425864959438E7
2014-12-05_23:16:17 1.285841694131203E8 5.574842920810663E7 4.582674511084572E7
2014-12-07_19:04:17 1.2983955909565687E8 5.6292863260818236E7 4.1264351430037536E7
