#time X Y Z
2014-08-02_18:26:22 6.10268385361703E8 2.717598246854832E8 -4.181605222861846E8
2014-08-07_02:24:27 6.08041130990887E8 2.7090456195890737E8 -4.2235814546779317E8
2014-08-11_10:22:32 6.058011768866566E8 2.700507944041902E8 -4.2654392398951215E8
2014-08-15_18:20:37 6.035269179382218E8 2.691746002499367E8 -4.3071082463996613E8
2014-08-20_02:18:41 6.012331103406869E8 2.6828982980434003E8 -4.3485580740982556E8
2014-08-24_10:16:46 5.989213011109312E8 2.6740403390295497E8 -4.389976245874315E8
2014-08-28_18:14:51 5.96579333553244E8 2.6649763001477093E8 -4.431143381100115E8
2014-09-02_02:12:56 5.942286369133523E8 2.6558727117032114E8 -4.472167609968192E8
2014-09-06_10:11:01 5.918381705872102E8 2.6466653738346976E8 -4.513006760395514E8
2014-09-10_18:09:05 5.894281173639127E8 2.6372971057709268E8 -4.553676611974578E8
2014-09-15_02:07:10 5.870086384729315E8 2.6279569143683013E8 -4.594177909633485E8
2014-09-19_10:05:15 5.845538072090956E8 2.6183885867333996E8 -4.6345087518036306E8
2014-09-23_18:03:20 5.820818459945754E8 2.6087425976618537E8 -4.6745917464512444E8
2014-09-28_02:01:25 5.795909328231802E8 2.599085297060242E8 -4.7146463724413395E8
2014-10-02_09:59:29 5.770708411356277E8 2.589224310029377E8 -4.7544456425878894E8
2014-10-06_17:57:34 5.74544296132704E8 2.5793336182425272E8 -4.79406927086268E8
2014-10-11_01:55:39 5.719781601581393E8 2.5693364152083215E8 -4.8335090223681176E8
2014-10-15_09:53:44 5.693928925652484E8 2.5591855674943918E8 -4.872768045423641E8
2014-10-19_17:51:49 5.667991243844755E8 2.5490629551827678E8 -4.9118537033466816E8
2014-10-24_01:49:53 5.64172210387841E8 2.5387222842772236E8 -4.950740020690964E8
2014-10-28_08:47:58 5.615387177687091E8 2.5283512596967748E8 -4.989456684898731E8
2014-11-01_16:46:03 5.588941220204248E8 2.5179986465073913E8 -5.027608020339293E8
2014-11-06_00:44:08 5.562033545599502E8 2.50737072565126E8 -5.0659481883258855E8
