#time X Y Z
2014-07-31_06:15:31 -1.9593244947745803E8 -8.82480839094386E7 -5.9376561871370934E7
2014-08-02_02:02:45 -1.9649549410970488E8 -8.861123674197485E7 -5.554128067541368E7
2014-08-03_21:50:00 -1.969926831193949E8 -8.894230378204301E7 -5.16927610173553E7
2014-08-05_17:37:14 -1.9743774913969266E8 -8.925219430991943E7 -4.782492315434589E7
2014-08-07_13:24:28 -1.9781619378442627E8 -8.952964214853825E7 -4.394682007391323E7
2014-08-09_09:11:42 -1.981415720209235E8 -8.9785370764619E7 -4.005094134314002E7
2014-08-11_04:58:56 -1.983997134794138E8 -9.000837087745629E7 -3.614763955393504E7
2014-08-13_00:46:10 -1.986038817212141E8 -9.020911129908705E7 -3.222810788793418E7
2014-08-14_20:33:24 -1.9874027062726253E8 -9.037687640708432E7 -2.830420096811381E7
2014-08-16_16:20:38 -1.9882181412424335E8 -9.052185454054235E7 -2.43656419444748E7
2014-08-18_12:07:52 -1.988351567396217E8 -9.063366568152945E7 -2.0425813474365298E7
2014-08-20_07:55:06 -1.9879280179343104E8 -9.072216933591947E7 -1.64729395892801E7
2014-08-22_03:42:20 -1.9868195655092642E8 -9.077737444048664E7 -1.2521949414345164E7
2014-08-23_23:29:34 -1.9851458324068516E8 -9.0808758504742E7 -8559634.860597074
2014-08-25_19:16:48 -1.9827856645358524E8 -9.080677502159046E7 -4602349.758789557
2014-08-27_15:04:02 -1.9798522922384647E8 -9.078047202507827E7 -635524.3703110534
2014-08-29_10:51:16 -1.9762321043522218E8 -9.072078479168768E7 3323083.249185191
2014-08-31_06:38:30 -1.9720312010304147E8 -9.063629570579948E7 7289379.0794933345
2014-09-02_02:25:44 -1.967144417156302E8 -9.0518466359457E7 1.1244244995010424E7
2014-09-03_22:12:58 -1.9616698130257654E8 -9.037538648884133E7 1.520485358848223E7
2014-09-05_18:00:12 -1.9555118561280492E8 -9.019904776251024E7 1.9150756674549934E7
2014-09-07_13:47:26 -1.948759264416601E8 -8.999702494974698E7 2.3100530631811712E7
2014-09-09_09:34:40 -1.941326899696998E8 -8.976190366590941E7 2.7032362963563934E7
2014-09-11_05:21:54 -1.933294227831391E8 -8.950069800902726E7 3.0965915170199126E7
2014-09-13_01:09:08 -1.9245713079416287E8 -8.920594772144145E7 3.4888441719917186E7
2014-09-14_20:56:22 -1.9152733423322657E8 -8.888604938363072E7 3.8790276096662074E7
2014-09-16_16:43:37 -1.9052719128293833E8 -8.853205432507434E7 4.268836800436898E7
2014-09-18_12:30:51 -1.8946988500517184E8 -8.815289995260787E7 4.656304638290114E7
2014-09-20_08:18:05 -1.8834217959721708E8 -8.773964190889418E7 5.043122343411121E7
2014-09-22_04:05:19 -1.871577793791525E8 -8.730127322364017E7 5.427318150280661E7
2014-09-23_23:52:33 -1.859025129426722E8 -8.682986819196008E7 5.810597375532763E7
2014-09-25_19:39:47 -1.8459210690280467E8 -8.6331373483804E7 6.190976105552822E7
2014-09-27_15:27:01 -1.8321049446680513E8 -8.580090581078875E7 6.5701680275597036E7
2014-09-29_11:14:15 -1.817744119789313E8 -8.524360978247677E7 6.946176115796663E7
2014-10-01_07:01:29 -1.8026738642787027E8 -8.465433245130785E7 7.320729965853623E7
2014-10-03_02:48:43 -1.787021140012862E8 -8.403644860646814E7 7.691626887401246E7
2014-10-04_22:35:57 -1.7707506805008143E8 -8.339073410702187E7 8.061168599309342E7
2014-10-06_18:23:11 -1.7538698138486224E8 -8.271509086765848E7 8.426600408375646E7
2014-10-08_14:10:25 -1.736368246333001E8 -8.201132613818455E7 8.790406307340336E7
2014-10-10_09:57:39 -1.7182710861470267E8 -8.127831527039243E7 9.149814921888834E7
2014-10-12_05:44:53 -1.6995544463219598E8 -8.05170894063243E7 9.50733424492843E7
2014-10-14_01:32:07 -1.680257740293583E8 -7.972752622511108E7 9.860173031801137E7
2014-10-15_21:19:21 -1.6603445344981995E8 -7.890952855849798E7 1.0210856778647384E8
2014-10-17_17:06:35 -1.639869319036399E8 -7.806383495758456E7 1.055658937054561E8
2014-10-19_12:53:49 -1.61878036387534E8 -7.71898815256635E7 1.0899894984287353E8
