#time X Y Z
2014-07-30_07:21:05 3.963025410664001E7 1.9874851187906448E7 1.2308395814036023E7
2014-07-31_04:13:53 4.030862639725121E7 2.0684438257753856E7 8004654.01459499
2014-08-01_01:06:41 4.067697816979465E7 2.133492501056054E7 3639340.633214609
2014-08-01_21:59:29 4.073399405651615E7 2.1822126447935972E7 -753906.9250432973
2014-08-02_18:52:17 4.048185488277994E7 2.214372548710317E7 -5141475.9191775415
2014-08-03_15:45:05 3.9926698567298785E7 2.229959249543861E7 -9490656.672100266
2014-08-04_12:37:53 3.907796873357876E7 2.229151661845184E7 -1.3770175476940945E7
2014-08-05_09:30:41 3.794811437259723E7 2.2123081029317345E7 -1.7950772443128813E7
2014-08-06_06:23:29 3.65521656533035E7 2.179952614398761E7 -2.2005718071818605E7
2014-08-07_03:16:17 3.490711102123624E7 2.1327447037841875E7 -2.5910796861963745E7
2014-08-08_00:09:05 3.303112531795586E7 2.0715496615548734E7 -2.964493546448985E7
2014-08-08_21:01:53 3.09449411890877E7 1.9970443653246325E7 -3.3190251470266193E7
2014-08-09_17:54:41 2.86683481774422E7 1.910255630184889E7 -3.653160042229845E7
2014-08-10_14:47:29 2.6221934952613894E7 1.8121558846092E7 -3.965683096514471E7
2014-08-11_11:40:17 2.362630606389724E7 1.7037172023129754E7 -4.2556539244998164E7
2014-08-12_08:33:05 2.0901471115183026E7 1.5859874112093186E7 -4.522369230924398E7
2014-08-13_05:25:53 1.806684883605268E7 1.45993594431789E7 -4.765380375071267E7
2014-08-14_02:18:41 1.5137688134319235E7 1.3263715516238187E7 -4.9845761859725036E7
2014-08-14_23:11:29 1.214006789557144E7 1.1866709592250984E7 -5.179948263058589E7
2014-08-15_20:04:17 9084947.981303552 1.041369730240956E7 -5.350958076423148E7
2014-08-16_16:57:05 5989365.9841655325 8914382.115863003 -5.498206230252657E7
2014-08-17_13:49:53 2868142.258083486 7377014.246442252 -5.622011929095966E7
2014-08-18_10:42:41 -264935.0540634205 5809385.687927635 -5.722787774867481E7
2014-08-19_07:35:29 -3397076.2768233074 4218861.5336976 -5.80102234644702E7
2014-08-20_04:28:17 -6516445.301321454 2612267.644880321 -5.857265990830063E7
2014-08-21_01:21:05 -9612075.746856103 996104.4818110137 -5.892117865326058E7
2014-08-21_22:13:53 -1.2673926316132916E7 -623603.9844410806 -5.906215906372073E7
2014-08-22_19:06:41 -1.5692766409795908E7 -2241149.4137745094 -5.900218366552567E7
2014-08-23_15:59:29 -1.8659925746755533E7 -3851796.214631367 -5.8748288365239166E7
2014-08-24_12:52:17 -2.1566946311441906E7 -5449372.17974967 -5.830776690359495E7
2014-08-25_09:45:05 -2.4408519301895116E7 -7030609.885860057 -5.7686984894399546E7
2014-08-26_06:37:53 -2.7177069994805455E7 -8590822.569244789 -5.689344658899839E7
2014-08-27_03:30:41 -2.9866450590601195E7 -1.0126011634714538E7 -5.593404773871189E7
2014-08-28_00:23:29 -3.247139593751699E7 -1.1632574729111364E7 -5.481644832947472E7
2014-08-28_21:16:17 -3.498675939429582E7 -1.3107050225914326E7 -5.354751826977846E7
2014-08-29_18:09:05 -3.7407912625351906E7 -1.454624026790827E7 -5.213431256665667E7
2014-08-30_15:01:53 -3.973079857570073E7 -1.5947126563802762E7 -5.058369359054143E7
2014-08-31_11:54:41 -4.1951147580956906E7 -1.730701646924969E7 -4.8902879321775526E7
2014-09-01_08:47:29 -4.406558187911118E7 -1.862318126022607E7 -4.709853519743527E7
2014-09-02_05:40:17 -4.6069625884618565E7 -1.989589480368508E7 -4.517747598905372E7
2014-09-03_02:33:05 -4.7962629410394415E7 -2.1117516744990356E7 -4.314631312511193E7
2014-09-03_23:25:53 -4.97406710006939E7 -2.2288519197749197E7 -4.1011697918630615E7
2014-09-04_20:18:41 -5.140121064321529E7 -2.3406860700682998E7 -3.878016837886309E7
2014-09-05_17:11:29 -5.294309087606365E7 -2.446886314554472E7 -3.645766013686746E7
2014-09-06_14:04:17 -5.436121174159745E7 -2.547763766624366E7 -3.4051503239873305E7
2014-09-07_10:57:05 -5.5655982112529E7 -2.6426903136879478E7 -3.15676963668865E7
2014-09-08_07:49:53 -5.6821837549772896E7 -2.7315281837555677E7 -2.9022540216779403E7
2014-09-09_04:42:41 -5.786344543649386E7 -2.81436104673611E7 -2.6402569046459105E7
2014-09-10_01:35:29 -5.877609017592119E7 -2.890922056379497E7 -2.372373621700294E7
2014-09-10_22:28:17 -5.955838109093628E7 -2.961070848192563E7 -2.0992277308251683E7
2014-09-11_19:21:05 -6.020904927304003E7 -3.024675710484044E7 -1.821440888716664E7
2014-09-12_16:13:53 -6.072695791247036E7 -3.0816079233705662E7 -1.5396361987017395E7
2014-09-13_13:06:41 -6.111104320932153E7 -3.131753512742095E7 -1.2544380850521924E7
2014-09-14_09:59:29 -6.1360405082152285E7 -3.174995958455096E7 -9664692.85831798
2014-09-15_06:52:17 -6.147423325523751E7 -3.2112257276919633E7 -6763704.619430063
2014-09-16_03:45:05 -6.145179346917067E7 -3.2403436075295996E7 -3847923.273368794
2014-09-17_00:37:53 -6.129254812293998E7 -3.2622397144644413E7 -923358.049149279
2014-09-17_21:30:41 -6.099616755218087E7 -3.2768139931376215E7 2003270.0726959256
2014-09-18_18:23:29 -6.056197366656207E7 -3.284018078665125E7 4926292.793310101
2014-09-19_15:16:17 -5.998997842144155E7 -3.283751880541757E7 7837043.411412015
2014-09-20_12:09:05 -5.928008619665511E7 -3.275936574168467E7 1.0729744886729734E7
2014-09-21_09:01:53 -5.843272648887132E7 -3.2605253832099915E7 1.3597560987637294E7
2014-09-22_05:54:41 -5.744737220218597E7 -3.2374151358646326E7 1.6433257794343876E7
2014-09-23_02:47:29 -5.632476920531786E7 -3.2065709685213502E7 1.922966005631004E7
2014-09-23_23:40:17 -5.506548079559036E7 -3.1679459579369348E7 2.197937040023196E7
2014-09-24_20:33:05 -5.36702798788122E7 -3.12148721633615E7 2.4674956235299014E7
2014-09-25_17:25:53 -5.214008640540425E7 -3.067195304812477E7 2.730831145613166E7
2014-09-26_14:18:41 -5.0476225829543784E7 -3.0050378175594192E7 2.987159866766909E7
2014-09-27_11:11:29 -4.8680126279732615E7 -2.935013909007687E7 3.2356554048402555E7
2014-09-28_08:04:17 -4.67537043845781E7 -2.8571061837221693E7 3.47548119434284E7
2014-09-29_04:57:05 -4.4698967526515104E7 -2.77135802959474E7 3.7057629726582624E7
2014-09-30_01:49:53 -4.2518118626851395E7 -2.677860197578081E7 3.925602176611259E7
2014-09-30_22:42:41 -4.02152215665272E7 -2.576596277255462E7 4.1340113901114196E7
2014-10-01_19:35:29 -3.77922076126238E7 -2.4676440263772625E7 4.330192609129078E7
2014-10-02_16:28:17 -3.525341086324419E7 -2.351135810191697E7 4.513102135615403E7
2014-10-03_13:21:05 -3.2601403072572745E7 -2.2270642136061553E7 4.681370050034004E7
2014-10-04_10:13:53 -2.9844597010939866E7 -2.0958506742499955E7 4.834745512546891E7
2014-10-05_07:06:41 -2.698710230346941E7 -1.9575661322302394E7 4.971793849211103E7
2014-10-06_03:59:29 -2.403534771987416E7 -1.812443453248409E7 5.0914593095655784E7
2014-10-07_00:52:17 -2.0996581852834217E7 -1.6607590289760485E7 5.19267235608036E7
2014-10-07_21:45:05 -1.7878953720990427E7 -1.5028351573330915E7 5.2743560864993006E7
2014-10-08_18:37:53 -1.469157548770253E7 -1.3390484170976607E7 5.335433347405887E7
2014-10-09_15:30:41 -1.1444618325810136E7 -1.1698287521639306E7 5.374838006538068E7
2014-10-10_12:23:29 -8149401.743725274 -9956724.415407699 5.391518951573381E7
2014-10-11_09:16:17 -4818549.670805977 -8171574.384594348 5.3844607022910066E7
2014-10-12_06:09:05 -1465620.6935049298 -6348848.780384933 5.352708451520204E7
2014-10-13_03:01:53 1893771.213140157 -4495952.090750166 5.2953639244627E7
2014-10-13_23:54:41 5244108.122239454 -2620534.9576614513 5.21162807279906E7
2014-10-14_20:47:29 8567051.48564452 -731564.3982181251 5.100812250715687E7
2014-10-15_17:40:17 1.1843433578717953E7 1161271.4376085405 4.962377807566868E7
2014-10-16_14:33:05 1.5052772578865506E7 3047452.2767844745 4.795916403192638E7
2014-10-17_11:25:53 1.8173747418870132E7 4915668.472610629 4.6013612867479905E7
2014-10-18_08:18:41 2.118375788504044E7 6753818.695602634 4.3787532356764846E7
2014-10-19_05:11:29 2.4059616336108763E7 8549155.424463026 4.128450024673619E7
2014-10-20_02:04:17 2.677768938731881E7 1.028845422326511E7 3.851106931672341E7
2014-10-20_22:57:05 2.9314546086975526E7 1.1958055380625665E7 3.547721865149292E7
2014-10-21_19:49:53 3.164703207314933E7 1.3544262918260064E7 3.219624211963669E7
2014-10-22_16:42:41 3.375219539861121E7 1.5035397594113873E7 2.868499670836589E7
2014-10-23_13:35:29 3.561110490120846E7 1.6414530178905187E7 2.4963909800104093E7
2014-10-24_10:28:17 3.720438902088537E7 1.7671225888372872E7 2.105673729805266E7
2014-10-25_07:21:05 3.851593289498919E7 1.879454126195017E7 1.6990286769777104E7
2014-10-25_07:21:06 3.963025410664001E7 1.9874851187906448E7 1.2308395814036023E7
