#time X Y Z
2014-07-29_16:57:05 177197.7637059149 47676.767359556536 -362093.49957047927
2014-07-29_23:25:53 157807.78155190425 40715.46095433908 -371461.7487399564
2014-07-30_05:54:41 137888.55839488242 33650.04673972459 -379624.15025950153
2014-07-30_12:23:29 117537.169505757 26490.712446950365 -386529.8143970088
2014-07-30_18:52:17 96807.32629633242 19221.16105849315 -392169.1492500158
2014-07-31_01:21:05 75758.04168491859 11950.843990940066 -396504.3835188762
2014-07-31_07:49:53 54496.43291820696 4578.989138806325 -399519.5584894004
2014-07-31_14:18:41 32999.09764662674 -2680.3867160325917 -401211.82835795515
2014-07-31_20:47:29 11448.794832127493 -10006.541914680814 -401544.594549995
2014-08-01_03:16:17 -10118.13767409992 -17344.838266255327 -400525.6060480407
2014-08-01_09:45:05 -31666.086051167167 -24535.542729483106 -398140.0014720017
2014-08-01_16:13:53 -53078.966635997975 -31695.427904573564 -394395.4034356285
2014-08-01_22:42:41 -74262.39667537705 -38799.59187724194 -389283.5364081564
2014-08-02_05:11:29 -95267.31016161878 -45586.02519611828 -382824.16587701434
2014-08-02_11:40:17 -115831.17514819923 -52407.719064773606 -375015.39960525394
2014-08-02_18:09:05 -136085.25650449086 -58814.612296874664 -365883.78970229096
2014-08-03_00:37:53 -155773.1965600033 -65149.03505563423 -355438.4381706103
2014-08-03_07:06:41 -174907.0877051369 -71231.40541634877 -343715.83647367684
2014-08-03_13:35:29 -193341.3921380528 -77169.77003262093 -330735.7041007726
2014-08-03_20:04:17 -211161.33727231354 -82575.06827530343 -316530.315226786
2014-08-04_02:33:05 -228131.42967121792 -87826.3208757287 -301150.66387724696
2014-08-04_09:01:53 -244207.11954329308 -92803.8762060823 -284629.07093709067
2014-08-04_15:30:41 -259404.9418596426 -97300.9792662657 -267021.8002466604
2014-08-04_21:59:29 -273605.4877245299 -101396.0814298393 -248370.34768079748
2014-08-05_04:28:17 -286701.3560188142 -105185.78120873852 -228753.84662544134
2014-08-05_10:57:05 -298655.72893497394 -108567.80330864909 -208217.3360469444
2014-08-05_17:25:53 -309441.10031957243 -111446.55884363878 -186846.12585392507
2014-08-05_23:54:41 -318936.30248198926 -113951.8209452435 -164701.79075754486
2014-08-06_06:23:29 -327146.875914558 -115930.98349494189 -141878.21835071023
2014-08-06_12:52:17 -333991.41570984677 -117421.90942309158 -118445.27272651452
2014-08-06_19:21:05 -339411.80911125767 -118462.34593198878 -94503.32140977033
2014-08-07_01:49:53 -343404.69150204887 -118944.16774620167 -70156.42574264144
2014-08-07_08:18:41 -345900.1496988812 -118933.44531569842 -45485.120519335804
2014-08-07_14:47:29 -346897.53257971135 -118371.62372258754 -20612.115387362097
2014-08-07_21:16:17 -346321.85545640194 -117377.00944541638 4371.555096653941
2014-08-08_03:45:05 -344233.427100941 -115765.49862353862 29335.230052933268
2014-08-08_10:13:53 -340577.6450836155 -113636.34558864584 54188.00831638825
2014-08-08_16:42:41 -335358.6046504251 -111027.27630181662 78792.5469462413
2014-08-08_23:11:29 -328570.50043696485 -107954.32193059841 103055.61201842436
2014-08-09_05:40:17 -320304.22766068485 -104250.19933670267 126833.99899042901
2014-08-09_12:09:05 -310490.4418610682 -100174.88484475031 150041.14451171563
2014-08-09_18:37:53 -299242.0893369539 -95533.29041387803 172546.08752927626
2014-08-10_01:06:41 -286535.02229965664 -90582.21384910382 194234.37646402436
2014-08-10_07:35:29 -272523.15795327333 -85003.91341585819 215004.5120386461
2014-08-10_14:04:17 -257150.06716195357 -79214.10667366935 234752.2564481852
2014-08-10_20:33:05 -240584.9995530472 -72909.76152195748 253382.16116031102
2014-08-11_03:01:53 -222882.2342453736 -66253.44399106553 270788.42640704615
2014-08-11_09:30:41 -204051.81872087956 -59405.490741072426 286918.7999989013
2014-08-11_15:59:29 -184319.99845277995 -52118.55650350479 301655.943146212
2014-08-11_22:28:17 -163663.347543939 -44672.401328265085 314968.4017187575
2014-08-12_04:57:05 -142246.50850101683 -37014.67569593779 326771.34848499333
2014-08-12_11:25:53 -120119.53807367875 -29241.3882161132 337038.78947190504
2014-08-12_17:54:41 -97492.74928463403 -21226.468492452426 345700.9585652793
2014-08-13_00:23:29 -74358.50052231959 -13223.858520467187 352754.90807872755
2014-08-13_06:52:17 -50882.3035639593 -5170.950121672631 358167.59450580715
2014-08-13_13:21:05 -27247.210595409157 3024.9646283651095 361914.8787383769
2014-08-13_19:49:53 -3430.96395183248 11081.325234443942 364018.7876519681
2014-08-14_02:18:41 20375.187281848543 19088.058121573784 364469.0032582783
2014-08-14_08:47:29 44040.3006519127 27123.7802778456 363286.8359518957
2014-08-14_15:16:17 67552.14783426125 34885.08604311629 360495.92420314613
2014-08-14_21:45:05 90743.88076333997 42549.24663419021 356127.6316399001
2014-08-15_04:13:53 113476.80841806675 50124.925565796766 350216.46883329103
2014-08-15_10:42:41 135747.83701635408 57433.633405023116 342812.87827005476
2014-08-15_17:11:29 157476.44871097972 64375.82864451758 333958.2444506089
2014-08-15_23:40:17 178480.61081105645 71210.2726090575 323717.500813631
2014-08-16_06:09:05 198794.40492050076 77622.73869120453 312142.7295622463
2014-08-16_12:37:53 218280.53255246606 83721.91998973112 299297.78621312743
2014-08-16_19:06:41 236871.20320234357 89535.60656695781 285256.316733505
2014-08-17_01:35:29 254476.38997233487 95079.92082283771 270081.97510868864
2014-08-17_08:04:17 271170.9328252723 100040.71118512937 253848.893871569
2014-08-17_14:33:05 286741.93801398354 104773.28677599384 236632.47259909692
2014-08-17_21:01:53 301212.5472228375 109128.72207176003 218516.56248757776
2014-08-18_03:30:41 314580.94293800095 112955.76325358264 199564.68632532944
2014-08-18_09:59:29 326794.6971748716 116322.07164873481 179866.48197579492
2014-08-18_16:28:17 337755.3684248537 119359.6895421647 159499.316672586
2014-08-18_22:57:05 347500.9451003833 121928.08012321038 138547.95216267707
2014-08-19_05:25:53 355957.6477985776 124126.82657687314 117086.23976596537
2014-08-19_11:54:41 363141.82309669146 125894.98232613734 95205.78562869657
2014-08-19_18:23:29 369096.5206793166 127056.00529318485 72975.16078795085
2014-08-20_00:52:17 373721.02837406244 127845.64062067273 50474.45730705184
2014-08-20_07:21:05 377039.63262847613 128223.53825578935 27795.70251643128
2014-08-20_13:49:53 379052.9025526729 128145.1540033408 5002.494955934671
2014-08-20_20:18:41 379740.5620446003 127724.34320716518 -17810.200115240263
2014-08-21_02:47:29 379176.15504153067 126728.67748710566 -40584.96430155041
2014-08-21_09:16:17 377353.09497253085 125250.61616925943 -63221.80516671151
2014-08-21_15:45:05 374219.54712908407 123454.11639398278 -85671.6053312936
2014-08-21_22:13:53 369839.70375316177 121254.64432813728 -107834.811409543
2014-08-22_04:42:41 364215.7220859647 118658.69344726365 -129666.10000156205
2014-08-22_11:11:29 357388.7186260464 115686.62566640257 -151070.154310162
2014-08-22_17:40:17 349417.64448919223 112225.43202459009 -171984.85968649053
2014-08-23_00:09:05 340256.2015440512 108488.53875613805 -192362.60365520697
2014-08-23_06:37:53 330002.2189975246 104354.52243940493 -212108.82253589673
2014-08-23_13:06:41 318650.26396923146 99899.72037909587 -231187.01765589966
2014-08-23_19:35:29 306268.8225266393 95127.0158701458 -249510.4724357339
2014-08-24_02:04:17 292860.3892344485 90087.36438717181 -267047.45838098606
2014-08-24_08:33:05 278545.59312029183 84665.9075992597 -283709.0525997628
2014-08-24_15:01:53 263299.748508159 79001.61426003049 -299472.4925277116
2014-08-24_21:30:41 247210.02895515438 73089.49529865383 -314261.5802163488
2014-08-25_03:59:29 230296.64218772372 66965.21812586836 -328050.5201596295
2014-08-25_10:28:17 212650.41680227095 60620.86145318653 -340771.0671488315
2014-08-25_16:57:05 194325.4378916783 54055.80924011078 -352389.17818815773
2014-08-25_16:57:06 177197.7637059149 47676.767359556536 -362093.49957047927
