#time X Y Z
2014-09-27_15:01:53 -1.6513310745826628E9 -7.774012781313895E8 4.0956356132606325E9
2014-11-26_18:35:29 -1.6270042483519247E9 -7.677521998239771E8 4.106904757043569E9
2015-01-25_23:09:05 -1.6026666078209202E9 -7.58044129880045E8 4.117998217562839E9
2015-03-27_03:42:41 -1.578246937229837E9 -7.482979850381902E8 4.1289227882380023E9
2015-05-26_09:16:17 -1.5537360425127063E9 -7.385620994946637E8 4.1397051248315244E9
2015-07-25_13:49:53 -1.5291791447828352E9 -7.287514924147182E8 4.150311818988938E9
2015-09-23_18:23:29 -1.5045558692568378E9 -7.189613855701535E8 4.1607662969339714E9
2015-11-22_21:57:05 -1.479894357502201E9 -7.091005656678761E8 4.1710559923181796E9
2016-01-22_02:30:41 -1.4551936004128675E9 -6.992201459923431E8 4.1811583534342747E9
2016-03-22_07:04:17 -1.4303882622193997E9 -6.893432686073697E8 4.1911228374902425E9
2016-05-21_12:37:53 -1.4055567862917128E9 -6.794005917479825E8 4.2009050521856046E9
2016-07-20_17:11:29 -1.3806290569012594E9 -6.694651805260667E8 4.2105457577898874E9
2016-09-18_21:45:05 -1.3556826022380178E9 -6.594678698885022E8 4.220014255813136E9
2016-11-18_01:18:41 -1.3306843220107713E9 -6.494453485563185E8 4.229301106364723E9
2017-01-17_05:52:17 -1.3056227769021E9 -6.394429246523572E8 4.2384329684238133E9
2017-03-18_10:25:53 -1.2805135096873467E9 -6.293669959384781E8 4.2474027516211967E9
2017-05-17_15:59:29 -1.255354635400401E9 -6.192666106933237E8 4.256190553015716E9
2017-07-16_20:33:05 -1.2301000818787215E9 -6.091720653998657E8 4.264834161186794E9
2017-09-15_01:06:41 -1.2048282227149656E9 -5.990170204202058E8 4.2732902724737353E9
2017-11-14_04:40:17 -1.1794883101327806E9 -5.88878904336272E8 4.281591439671141E9
2018-01-13_09:13:53 -1.1541356237381415E9 -5.786831748938962E8 4.2897173723593054E9
2018-03-14_13:47:29 -1.1287197821254017E9 -5.684570220435976E8 4.2976636527135105E9
2018-05-13_19:21:05 -1.1032291357250547E9 -5.58244565090006E8 4.305457119494197E9
2018-07-12_23:54:41 -1.0776934063130243E9 -5.47959871800544E8 4.313070206848899E9
2018-09-11_04:28:17 -1.0521064722836637E9 -5.376991759370044E8 4.320522234561666E9
2018-11-10_08:01:53 -1.0265018055016096E9 -5.2737906989666814E8 4.327798828027277E9
2019-01-09_12:35:29 -1.0008577172840883E9 -5.1703857195896935E8 4.334886086410696E9
2019-03-10_17:09:05 -9.751335308450556E8 -5.067082595544525E8 4.341818601059359E9
2019-05-09_22:42:41 -9.493939378065028E8 -4.9631975787495214E8 4.348575343580379E9
2019-07-09_03:16:17 -9.23582777402316E8 -4.858972142863333E8 4.355150500486891E9
2019-09-07_07:49:53 -8.977262729663182E8 -4.7549916155042434E8 4.361560048214099E9
2019-11-06_11:23:29 -8.718493949704514E8 -4.650414202863014E8 4.367778954397517E9
2020-01-05_15:57:05 -8.459274540964948E8 -4.5460746361023897E8 4.373831206189683E9
2020-03-05_20:30:41 -8.199787916385534E8 -4.441119062879105E8 4.37970655187908E9
2020-05-05_02:04:17 -7.939824539850849E8 -4.335920594306509E8 4.385392215082469E9
2020-07-04_06:37:53 -7.679113063970041E8 -4.230827008356882E8 4.390916830826891E9
2020-09-02_11:11:29 -7.418481326819742E8 -4.125268323605514E8 4.3962433245496E9
2020-11-01_14:45:05 -7.15712210186736E8 -4.019813473811593E8 4.401404749877648E9
2020-12-31_19:18:41 -6.895994417814702E8 -3.9139677694287825E8 4.406377501329369E9
2021-03-01_23:52:17 -6.634353958436466E8 -3.80786240982863E8 4.411158757666931E9
2021-05-01_05:25:53 -6.372015829081637E8 -3.7018703667114544E8 4.415773664886405E9
2021-06-30_09:59:29 -6.109576974152889E8 -3.5953376173281085E8 4.420191889205076E9
2021-08-29_14:33:05 -5.846966248173707E8 -3.488701191087558E8 4.424437703931405E9
2021-10-28_19:06:41 -5.583854877836227E8 -3.3822492887884665E8 4.4284989072063E9
2021-12-27_22:40:17 -5.320765270553166E8 -3.275324998188881E8 4.432360838718878E9
2022-02-26_03:13:53 -5.057235141078693E8 -3.168605296611855E8 4.436047950564928E9
2022-04-27_08:47:29 -4.793697293183113E8 -3.061408638647568E8 4.439549836341098E9
2022-06-26_13:21:05 -4.5297748626906234E8 -2.954003664104441E8 4.442855758424969E9
2022-08-25_17:54:41 -4.265426529225668E8 -2.846807837182779E8 4.445987399005832E9
2022-10-24_22:28:17 -4.001286391555318E8 -2.739225635079324E8 4.448915904476659E9
2022-12-24_02:01:53 -3.736671468126274E8 -2.6318223213376704E8 4.451671511881505E9
2023-02-22_06:35:29 -3.4723446231697696E8 -2.5240781717130753E8 4.454236846383345E9
2023-04-23_12:09:05 -3.2077709063868487E8 -2.4161846454780978E8 4.456603505062823E9
2023-06-22_16:42:41 -2.942587408803884E8 -2.3084060403591484E8 4.458796878865177E9
2023-08-21_21:16:17 -2.6777335442304447E8 -2.2003005419620886E8 4.460789759689258E9
2023-10-21_01:49:53 -2.412541540353533E8 -2.0924290817023185E8 4.462608180561127E9
2023-12-20_05:23:29 -2.1475224140805018E8 -1.9841734069785446E8 4.464238463151485E9
2024-02-18_09:57:05 -1.8827057614773053E8 -1.8759607655156845E8 4.465667362752362E9
2024-04-18_15:30:41 -1.617373409578882E8 -1.7678861116067117E8 4.466924485075703E9
2024-06-17_20:04:17 -1.3520676883314463E8 -1.659377410439454E8 4.467996754029447E9
2024-08-17_00:37:53 -1.0870082667948878E8 -1.5509307091591746E8 4.468870293075992E9
2024-10-16_05:11:29 -8.21625694813724E7 -1.442700709097587E8 4.46956970364126E9
2024-12-15_08:45:05 -5.5651364899242416E7 -1.3341423877549845E8 4.470073304736274E9
2025-02-13_13:18:41 -2.913524315463642E7 -1.2259103966221312E8 4.470403513529358E9
2025-04-14_18:52:17 -2638563.638351277 -1.1173291359284179E8 4.470550086403772E9
2025-06-13_23:25:53 2.3878912018620797E7 -1.0086109865556163E8 4.470501069595316E9
2025-08-13_03:59:29 5.0395823969201304E7 -9.00239653189572E7 4.470282383646313E9
2025-10-12_08:33:05 7.688207054986395E7 -7.915623233417717E7 4.469869915254055E9
2025-12-11_12:06:41 1.033856443013459E8 -6.831546943331762E7 4.469285684129672E9
2026-02-09_16:40:17 1.2982808503324024E8 -5.745845869249616E7 4.468521040680327E9
2026-04-10_22:13:53 1.562845985819955E8 -4.659075352946488E7 4.467564544934314E9
2026-06-10_02:47:29 1.8277455637743983E8 -3.574141579018793E7 4.466437125019207E9
2026-08-09_07:21:05 2.0920165786683634E8 -2.4877264506672055E7 4.465132060550076E9
2026-10-08_11:54:41 2.3562333018217823E8 -1.4011095333750578E7 4.4636352134068165E9
2026-12-07_15:28:17 2.620568638331761E8 -3171837.444471702 4.461970070861619E9
2027-02-05_20:01:53 2.8842544886264545E8 7680443.090366632 4.460117279597059E9
2027-04-07_01:35:29 3.1483715124567807E8 1.8520337055149958E7 4.458092868339369E9
2027-06-06_06:09:05 3.412094952385269E8 2.9383336306818116E7 4.455892112052901E9
