#time X Y Z
2014-08-09_04:41:15 -1.1021240723734138E9 -4.162487774399123E8 -9.035997930304364E8
2014-08-19_22:54:13 -1.1071080129837506E9 -4.1858835731558055E8 -8.96947921431388E8
2014-08-30_17:07:10 -1.1120375616620986E9 -4.209181528827257E8 -8.902454103428535E8
2014-09-10_11:20:08 -1.1169036227264497E9 -4.2321177080038935E8 -8.835541263488622E8
2014-09-21_05:33:05 -1.121775912330664E9 -4.25509107148581E8 -8.768012657523322E8
2014-10-01_23:46:03 -1.1265634229901452E9 -4.2778447799334353E8 -8.700421423558158E8
2014-10-12_17:59:01 -1.1313523457995572E9 -4.3004939636002374E8 -8.632328189625067E8
2014-10-23_12:11:58 -1.1360862198088224E9 -4.32306022507839E8 -8.563752027548549E8
2014-11-03_05:24:56 -1.140755453864331E9 -4.345244407054681E8 -8.495334006444106E8
2014-11-13_23:37:53 -1.1454116418996212E9 -4.367385054698895E8 -8.426565200993451E8
2014-11-24_17:50:51 -1.1500217214250603E9 -4.389475757873591E8 -8.357157506713064E8
2014-12-05_12:03:49 -1.1545759962972436E9 -4.411222268007207E8 -8.287785006933562E8
2014-12-16_06:16:46 -1.1591262202484093E9 -4.4329631290542996E8 -8.217904951293656E8
2014-12-27_00:29:44 -1.1635951696620202E9 -4.4545092988514626E8 -8.147964072420636E8
2015-01-06_18:42:41 -1.1680638565346391E9 -4.4759336072381157E8 -8.077513247610495E8
2015-01-17_12:55:39 -1.1724768650905204E9 -4.4972817003858745E8 -8.006599769486457E8
2015-01-28_07:08:37 -1.1768295728010566E9 -4.518254265502448E8 -7.935816369560963E8
2015-02-08_01:21:34 -1.1811759934770653E9 -4.539211050994075E8 -7.864512842819672E8
2015-02-18_19:34:32 -1.1854655725528827E9 -4.560085210410885E8 -7.792758957540058E8
2015-03-01_13:47:29 -1.1896912482531297E9 -4.580564895844933E8 -7.721220583575656E8
2015-03-12_08:00:27 -1.1939134686696537E9 -4.601183271338639E8 -7.649035055470384E8
2015-03-23_02:13:25 -1.198058151585372E9 -4.621351857541393E8 -7.576968146189243E8
2015-04-02_21:26:22 -1.202201676575402E9 -4.641526566569236E8 -7.504234072185938E8
2015-04-13_15:39:20 -1.2062969554286835E9 -4.6616629726771307E8 -7.430897207422583E8
2015-04-24_09:52:17 -1.2103195421113796E9 -4.6813587579997855E8 -7.357987180098248E8
2015-05-05_04:05:15 -1.2143296650772858E9 -4.7011614388157403E8 -7.284538472089362E8
2015-05-15_22:18:13 -1.2182679538626359E9 -4.720529528849514E8 -7.211129350718187E8
2015-05-26_16:31:10 -1.2222016923984327E9 -4.739889880730659E8 -7.137107802527449E8
2015-06-06_10:44:08 -1.2260709062942386E9 -4.759149485664183E8 -7.06281700168422E8
2015-06-17_04:57:05 -1.2298839390142756E9 -4.778029946853149E8 -6.988666360719349E8
2015-06-27_23:10:03 -1.2336874859007928E9 -4.79688188100582E8 -6.913961875285685E8
2015-07-08_17:23:01 -1.2374093363369691E9 -4.815561772490912E8 -6.83934227558544E8
2015-07-19_11:35:58 -1.2411272305765495E9 -4.834079553140239E8 -6.764152679241887E8
2015-07-30_05:48:56 -1.2447860651861036E9 -4.8525258003341186E8 -6.688582830443622E8
2015-08-10_00:01:53 -1.2483843312272975E9 -4.870568655689914E8 -6.613334102459646E8
2015-08-20_18:14:51 -1.2519762104568908E9 -4.8885946630451447E8 -6.537377117521565E8
2015-08-31_12:27:49 -1.255502667916613E9 -4.9065266222919333E8 -6.461188113873384E8
2015-09-11_06:40:46 -1.2589740524503708E9 -4.924072050187797E8 -6.385188351449684E8
2015-09-22_00:53:44 -1.2624311938391585E9 -4.941735112019731E8 -6.308550308332362E8
2015-10-02_19:06:41 -1.265811689992449E9 -4.9589221503918594E8 -6.232211147000699E8
2015-10-13_13:19:39 -1.2691878394624395E9 -4.9761058560071903E8 -6.15513366594239E8
2015-10-24_07:32:37 -1.2724973154275694E9 -4.993190739664489E8 -6.077849110668432E8
2015-11-04_00:45:34 -1.275752161225177E9 -5.009885506424985E8 -6.000784084389952E8
2015-11-14_18:58:32 -1.2789792324855332E9 -5.026470532329759E8 -5.923484603661062E8
2015-11-25_13:11:29 -1.2821606033227112E9 -5.0430584714524436E8 -5.845503016464111E8
2015-12-06_07:24:27 -1.2852810688468337E9 -5.059222228109687E8 -5.767905766258062E8
2015-12-17_01:37:25 -1.2883876695836165E9 -5.07551658270329E8 -5.689581569948115E8
2015-12-27_19:50:22 -1.2914202140981548E9 -5.091333339850174E8 -5.611606192829169E8
2016-01-07_14:03:20 -1.2944431431808124E9 -5.1071238762809736E8 -5.532874985815456E8
2016-01-18_08:16:17 -1.297403172772043E9 -5.122840870121826E8 -5.453904361910117E8
2016-01-29_02:29:15 -1.3003040376073666E9 -5.138136530836884E8 -5.375351588979905E8
2016-02-08_20:42:13 -1.303193106475744E9 -5.1533932653823245E8 -5.296070112439876E8
2016-02-19_14:55:10 -1.3059987660176768E9 -5.1684948081524765E8 -5.2171686579201484E8
2016-03-01_09:08:08 -1.3087982538630614E9 -5.1834009542870814E8 -5.1375041255642366E8
2016-03-12_03:21:05 -1.311532939245237E9 -5.198229278872536E8 -5.057695610812613E8
2016-03-22_21:34:03 -1.3142140935594702E9 -5.2126536738493663E8 -4.9781790198757154E8
