#time X Y Z
2014-08-29_05:38:51 6.668545561936264E8 2.5089439938595432E8 2.9087903692653637E9
2014-09-29_00:49:25 6.822466501435347E8 2.5769583756932396E8 2.9042667688674893E9
2014-10-29_18:59:58 6.975255367662379E8 2.6445830940034547E8 2.899643863976767E9
2014-11-29_14:10:32 7.128441591036559E8 2.712298316196361E8 2.8949240289169827E9
2014-12-30_09:21:05 7.280692857836343E8 2.7797144726677054E8 2.8901199859000587E9
2015-01-30_04:31:39 7.433583617118111E8 2.8473292417775536E8 2.885168737646769E9
2015-03-01_23:42:13 7.5861642828662E8 2.9149162998081934E8 2.880139129049284E9
2015-04-01_19:52:46 7.737596725008693E8 2.981923928328711E8 2.8750135169702616E9
2015-05-02_15:03:20 7.889906748087461E8 3.049418362716744E8 2.8697721198555512E9
2015-06-02_10:13:53 8.040772515443492E8 3.1162064147621685E8 2.86444600402244E9
2015-07-03_05:24:27 8.19223986290627E8 3.183270713704121E8 2.8590145363280263E9
2015-08-03_00:35:01 8.342561274102521E8 3.24994655799896E8 2.853486624570289E9
2015-09-02_19:45:34 8.493428998525596E8 3.316768985775365E8 2.8478540584078608E9
2015-10-03_14:56:08 8.643144300706668E8 3.383205253352029E8 2.84215234473421E9
2015-11-03_09:06:41 8.793400398287829E8 3.44978997881766E8 2.836296420972066E9
2015-12-04_04:17:15 8.943080881497495E8 3.516237583074416E8 2.830374613436489E9
2016-01-03_23:27:49 9.091814670296572E8 3.5821853463684714E8 2.8243512523342786E9
2016-02-03_18:38:22 9.241141156552013E8 3.648504891825593E8 2.8182204667957716E9
2016-03-05_13:48:56 9.389227559808236E8 3.7141973792005384E8 2.8120008007893114E9
2016-04-05_09:59:29 9.537838672880672E8 3.78013317910773E8 2.8056762673281384E9
2016-05-06_05:10:03 9.685505053017411E8 3.845774288544462E8 2.7992488025314355E9
2016-06-06_00:20:37 9.833433094342891E8 3.9114306397217155E8 2.792725650704241E9
2016-07-06_19:31:10 9.98019975363141E8 3.976703700121374E8 2.7861388322414317E9
2016-08-06_14:41:44 1.0127406697591136E9 4.0420740537810415E8 2.7793940051503453E9
2016-09-06_09:52:17 1.0274230672371886E9 4.10739759182884E8 2.772579608221362E9
2016-10-07_05:02:51 1.0419871762377933E9 4.1721105510218906E8 2.765675052522433E9
