#time X Y Z
2014-07-31_06:10:44 9.304559805424494E7 3.945824788167334E7 3.7678233973469615E7
2014-08-02_01:53:10 9.45360873186456E7 4.046020020455694E7 3.2449766799978707E7
2014-08-03_21:35:36 9.577892736373077E7 4.135616591312008E7 2.713608466501485E7
2014-08-05_17:18:03 9.677058943677314E7 4.214366575819276E7 2.175119599203965E7
2014-08-07_13:00:29 9.75092226221269E7 4.281832110997218E7 1.6309214322320314E7
2014-08-09_08:42:55 9.799091578802617E7 4.3382802413134895E7 1.0824437288820589E7
2014-08-11_04:25:22 9.821477865664148E7 4.383314286492378E7 5311535.348326318
2014-08-13_00:07:48 9.818028649335931E7 4.4168152808729514E7 -215724.65572881274
2014-08-14_19:50:14 9.788730137278704E7 4.438687752131075E7 -5742415.511753895
2014-08-16_15:32:41 9.733739148217767E7 4.448655484434848E7 -1.1253957163046394E7
2014-08-18_11:15:07 9.653005310626191E7 4.4471117116085276E7 -1.6735912704674084E7
2014-08-20_06:57:33 9.546804825257255E7 4.433834888494581E7 -2.2173174380530417E7
2014-08-22_02:40:00 9.415403790853624E7 4.408850048534441E7 -2.7552388210032426E7
2014-08-23_22:22:26 9.259140904933439E7 4.3722227380735524E7 -3.2858902048270207E7
2014-08-25_18:04:52 9.078508343178628E7 4.323859502694211E7 -3.807859360315254E7
2014-08-27_13:47:19 8.873822854374875E7 4.264269515013102E7 -4.319719703672111E7
2014-08-29_09:29:45 8.64565420795196E7 4.1933922150819734E7 -4.82020848738574E7
2014-08-31_05:12:12 8.394626972385523E7 4.11142241626907E7 -5.3079483344014265E7
2014-09-02_00:54:38 8.121468975035864E7 4.018422369194441E7 -5.781655808385366E7
2014-09-03_20:37:04 7.826755322248356E7 3.9149503764693275E7 -6.24006392495127E7
2014-09-05_16:19:31 7.511364078198616E7 3.80113028317748E7 -6.681915402244821E7
2014-09-07_12:01:57 7.17606791693823E7 3.6772339650872216E7 -7.106135443597935E7
2014-09-09_07:44:23 6.821788040285693E7 3.543605925191709E7 -7.511548444979927E7
2014-09-11_03:26:50 6.449510362030385E7 3.400488700926569E7 -7.897091961755326E7
2014-09-12_23:09:16 6.0601099107651204E7 3.2484857234022494E7 -8.26173629213454E7
2014-09-14_18:51:42 5.6547258527206376E7 3.087905623435346E7 -8.604490569967878E7
2014-09-16_14:34:09 5.234347406481355E7 2.9191362869523846E7 -8.924523534739174E7
2014-09-18_10:16:35 4.800129330762512E7 2.7426439381960027E7 -9.220958087250347E7
2014-09-20_05:59:01 4.353251469335685E7 2.558839677967106E7 -9.493020006424662E7
2014-09-22_01:41:28 3.894881660559238E7 2.3683543460553177E7 -9.739959430530943E7
2014-09-23_21:23:54 3.42618145998414E7 2.171589540085458E7 -9.961206014419849E7
2014-09-25_17:06:20 2.9484398893241018E7 1.9690881094706655E7 -1.0156149866852072E8
2014-09-27_12:48:47 2.4629227698946856E7 1.7613866196069203E7 -1.0324290013167061E8
2014-09-29_08:31:13 1.970902721234143E7 1.5490284904527156E7 -1.0465184512695268E8
2014-10-01_04:13:39 1.4737338566199705E7 1.3326168085670521E7 -1.0578495702826115E8
2014-10-02_23:56:06 9726405.007077571 1.1126703834155623E7 -1.0663949131103337E8
2014-10-04_19:38:32 4689886.005375352 8897912.486092325 -1.0721327352123572E8
2014-10-06_15:20:58 -359137.2144387183 6646094.782407226 -1.0750496394853683E8
2014-10-08_11:03:25 -5407043.54138735 4376435.035114591 -1.0751384230622068E8
